Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Bulgur/Mint/Dried Fruit Salad ,保鲜/薄荷/干果沙拉（w /坚果）（素）,干小麦碎／薄荷／果脯沙拉
Sliced Genoa Salami,切丝热那亚萨拉米香肠,热那亚式萨拉米香肠切片
Cheddar Cheese ,切达干酪（素）,车达芝士
Sliced Pepper Jack Cheese ,切胡椒杰克奶酪（素）,胡椒奶酪切片
Chicken Shoyu,鸡Sho yu,酱油鸡
Pineapple Fried Rice w/Tofu ,菠萝炒饭与豆腐（素）,菠萝炒饭（内含豆腐）
Egg Rolls ,蛋卷（素）,炸春卷
Stir Fried Bok Choy ,炒ok y（素）,炒白菜
Fresh Cauliflower & Carrots ,新鲜花椰菜,新鲜的花椰菜和胡萝卜
Stir Fry Vegetables ,炒蔬菜（素）,炒青菜
Pizza Line,披萨线,披萨
BBQ Chicken Pizza,烧烤鸡肉披萨,烤鸡肉披萨
Vegetable Pizza ,蔬菜披萨（素）,蔬菜披萨
Three Cheese Pizza ,三奶酪披萨（素）,三种奶酪披萨
Vegan Pizza (Available Upon Request),素食薄饼（可根据要求提供）,素食披萨
Grilled Amer/Swiss Cheese Sandwich ,烤美味/瑞士奶酪三明治（素）,烤美国芝士三明治／烤瑞典芝士三明治
Mushroom Barley Soup ,蘑菇大麦汤（素）,蘑菇大麦浓汤
Hawaiian Sweet Bread ,夏威夷甜面包（素）,夏威夷甜面包
M&M Bar  ,M,MM豆 bar
Chocolate Cream Cheese Cupcake ,巧克力奶油蛋糕（素）,巧克力乳酪杯子蛋糕
Bulgur/Mint/Drd Fruit Salad ,保鲜/薄荷/水果沙拉（w /坚果）（素）,干小麦碎／薄荷／果脯沙拉
Thai Noodle Salad  ,泰式面条沙拉（w /坚果）（素）,泰式面条沙拉
Chicken Marsala,鸡马尔萨拉,烤香草乳酪鸡胸
Cheese Ravioli w/ Tomato Cream Sauce ,奶油馄饨（番茄酱）（素）,奶酪小方饺配番茄奶油酱
Linguini ,Linguini（素）,意大利面
zSpicy Tomato Sauce ,zSpicy番茄酱（素）,辣番茄酱
Green Beans in Brown Butter ,棕色黄油中的绿豆（素）,布朗黄油烩青豆
zPork Balchao,zPork Ba\u200b\u200blchao,炖猪肉
Mushroom Curry ,蘑菇咖喱（素）,咖喱蘑菇
Basmati Rice with Peas ,豌豆（素）,豌豆配印度香米
Indian Lentils ,印度扁豆（素）,印度小扁豆
Naan Bread ,Na面包（素）,烤饼
Beef Enchilada,牛肉芝士,以辣椒调味的一种墨西哥菜配牛肉
Cheese Enchilada ,芝加哥（素）,以辣椒调味的一种墨西哥菜加芝士
Mexican Rice,墨西哥饭,墨西哥风味饭
Turkey Vegetable Soup,土豆蔬菜汤,火鸡蔬菜汤
Wild Savory Rice ,野味咸米（素）,野生香薄荷饭
Pasta with Olive Oil ,橄榄油意大利面（素）,橄榄油配意面
Almond Braids  ,杏仁辫子（w /坚果）（素）,杏仁面包
Coconut Cream Pie  ,椰子奶油馅饼（w /坚果）（素）,椰子奶油馅饼
Avocado And Tomato Salad ,鳄梨和番茄沙拉（素）,牛油果番茄沙拉
Vegetable Soup ,蔬菜汤（素）,蔬菜汤
Philly Cheese Steak Sandwich,费城干酪牛排三明治,牛排芝士三明治
Fresh Broccoli Spears ,新鲜西兰花Spears（素）,新鲜的西兰花茎
Grits ,砂砾（素）,粗玉米粉
French Toast ,法国吐司（素）,法国吐司
Cage Free Scrambled Eggs w/Ham & Cheese,炒鸡蛋与火腿起司,炒鸡蛋配芝士火腿
Fried Potatoes with Onions ,炒土豆与洋葱（素）,洋葱炒土豆
Brunch Coffee Cake ,早午餐咖啡蛋糕（素）,咖啡蛋糕
Lemon Scone ,柠檬饼（素）,柠檬松饼
Granulated Peanut,颗粒花生,花生颗粒
Brown Sugar,红糖,红糖
Teriyaki Beef,红烧牛肉,照烧牛肉
Stir Fry Noodles with Vegetables ,搅拌炒面（蔬菜）,蔬菜炒面
Turkey Meatloaf,火鸡肉饼,火鸡肉卷
Baby Carrots with Tarragon ,宝贝胡萝卜与塔拉贡（素）,小胡萝卜配龙蒿
Corn ,玉米（素）,玉米
Risotto with Fresh Vegetables ,新鲜蔬菜烩饭（素）,蔬菜烩饭
Tomato Rice Soup ,番茄大米汤（素）,番茄饭汤
Penne Pasta ,尖管通心粉（素）,通心粉
Creamy Rosemary Sauce ,奶油迷迭香酱（素）,奶油迷迭香酱
Sausage Mushroom Pizza,香肠蘑菇披萨,香肠蘑菇披萨
Tomato Basil Pizza on Wheat ,番茄罗勒披萨小麦（素）,番茄罗勒小麦披萨
Cornbread w/ Honey Butter,玉米面包/蜂蜜黄油,玉米面包配蜂蜜黄油
Banana Macadamia Nut Cake  ,香蕉澳洲坚果蛋糕（w /坚果）（素）,香蕉坚果蛋糕
Garbanzo Bean,Garbanzo豆,鹰嘴豆
Celery,芹菜,芹菜
Daikon Sprout,萝卜芽,萝卜芽
Lentil and Brown Rice Soup ,扁豆和糙米汤（素）,扁豆糙米汤
Shaved Turkey on 100% Whole Wheat,刮火鸡100％全麦,火鸡配全麦
Fresh Steamed Carrots ,新鲜的胡萝卜（素）,蒸胡萝卜
Sausage and Mushroom Pizza,香肠和蘑菇披萨,香肠蘑菇披萨
Cream of Wheat ,小麦奶油（素）,面粉加维生素无机盐制成的早点
Fresh Scrambled Eggs ,新鲜炒鸡蛋（素）,炒鸡蛋
Apple Cinnamon Pancake ,苹果肉桂煎饼（素）,肉桂苹果薄煎饼
Bacon,培根,培根
Diced Potatoes with Onions ,洋葱切成土豆（素）,洋葱土豆丁
Waffles ,华夫饼（素）,华夫饼
Red Potato Salad with Dill ,莳萝红土豆沙拉（素）,土豆沙拉配小茴香
Sliced Cantalope ,切片Cantalope（素）,切香瓜
Sliced Honeydew ,切蛋白（素）,切甜瓜
Grapefruit Halves ,葡萄柚一半（素）,半个葡萄柚
Banana Chocolate Chip Muffin ,香蕉巧克力松饼（素）,香蕉巧克力松饼
Spaghetti Soup ,意粉汤（素）,意粉汤
Lemon Pepper Rotisserie Chicken,柠檬胡椒烤鸡,柠檬胡椒烤鸡
Roasted Potato Halves ,烤马铃薯（素）,切半烤土豆
Spinach Noodle Casserole ,菠菜面条砂锅（素）,菠菜面条煲
Steamed Cauliflower and Broccoli ,花椰菜和西兰花（素）,蒸花椰菜和西兰花
Beef And Bean Burrito,牛肉和炸薯条,牛肉豆子煎饼
Black Bean Enchilada ,黑豆Enchilada（素）,黑豆玉米卷饼
Mexican Rice ,墨西哥米（素）,墨西哥饭
Roasted Chile Negro Salsa ,烤智利黑人萨尔萨酱（素）,
Chicken Fried Rice,鸡肉炒饭,鸡肉炒饭
Panfried Noodles with Vegetables ,蔬菜面粉（素）,蔬菜煎面
Cracked Wheat Bread ,破碎的小麦面包（素）,小麦面包
Chocolate Mousse Pie,巧克力慕斯馅饼,巧克力慕斯馅饼
Creamy Peanut Butter,奶油花生酱,醇厚花生酱
Sliced Mushroom,切菇,蘑菇切片
Whole Kernel Corn,全粒玉米,玉米粒
Red Kidney Bean,红芸豆,红芸豆
Shoestring Beet,烧甜菜,甜菜
zOrange Cream Fruit Salad ,zOrange奶油水果沙拉（素）,香橙奶油水果沙拉
Pasta Salad w/ Ginger & Onions ,意大利面沙拉配姜,通心粉沙拉配姜和洋葱
Sliced Italian Dry Salami,切意大利干腊肠,意大利干腊肠切片
Natural Swiss Cheese ,天然瑞士奶酪（五）,天然瑞士奶酪
Whole Wheat French Toast ,全麦法国吐司（素）,全麦法国吐司
Potatoes OyinhaoBrien ,土豆OyinhaoBrien（素）,
Monte Cristo Sandwich,基督山三明治,蒙特克里斯托三明治
zLinguini w/Bacon Tomato Cream Sauce,zLinguini w /培根番茄酱酱,通心粉配培根番茄奶油酱
Roasted Vegetables ,烤蔬菜（素）,烤蔬菜
Egg and Cheese Bagel Sandwich ,鸡蛋和芝士百吉饼三明治（素）,奶酪鸡蛋三明治
Strawberry Sauce ,草莓酱（素）,草莓酱
Tomato Rice Soup ,番茄米饭汤（素）,番茄米汤
Raspberry White Chocolate Scone ,覆盆子白巧克力饼（素）,覆盆子白巧克力松饼
Pumpkin Muffins  ,南瓜松饼（w /坚果）（素）,南瓜松饼
Unsalted Butter,无盐黄油,无盐黄油
Roast Beef with Gravy,烤牛肉与肉汁,多汁烤牛肉
Tavern Battered Cod,酒馆Baked Cod,酒馆鳕鱼
Roasted Fingerling Potatoes ,烤肉土豆（素）,烤小土豆
Spinach Turnover ,菠菜周转（素）,菠菜小馅饼
Cheddar Cheese Omelet ,切达干酪煎蛋卷（素）,切达芝士煎蛋卷
Calamari & Scallop Mung Noodle Salad,鱿鱼,鱿鱼，扇贝，绿豆面条沙拉
Coleslaw w/ Vinaigrette Dressing ,凉拌卷心装,凉拌卷心菜配香醋
Cajun Chicken Stir Fry,Cajun鸡肉搅拌,法式炒鸡
Chicken Quarters with BBQ Sauce,烤鸡肉烧烤酱,鸡腿配烧烤酱
Green Spinach ,绿菠菜（素）,绿色的菠菜
Kale Strawberry Salad & Walnuts ,甘蓝草莓沙拉,草莓沙拉配核桃
Grilled Vegetables,烤蔬菜,烤蔬菜
Cinnamon And Sugar Muffin ,肉桂和松饼（素）,肉桂和糖松饼
Curry Cous Cous Salad w/Fruit,咖喱Cous Cous沙拉w /水果（w /坚果）,咖喱米饭沙拉配水果
White Beans ,白豆（素）,白豆
Roasted Broccoli and Red Onion ,烤西兰花和红洋葱（素）,烤西兰花配红洋葱
Three Cheese Pizza on White ,白色三粒芝士披萨（素）,白芝士披萨
Spanakopita Triangles ,Spanakopita三角形（素）,希腊式馅饼
Greek Green Beans ,希腊绿豆（素）,希腊青豆
Pecan Cinnamon Muffin  ,山核桃肉桂松饼（w /坚果）（素）,核桃肉桂松饼
Chunky Tomato Basil Sauce ,浓缩番茄罗勒酱（素）,浓郁番茄罗勒酱
Mediterranean Couscous Salad ,地中海沙司（w /坚果）（素）,地中海蒸粗燕麦粉沙拉
Lemon Bar ,柠檬酒吧（素）,柠檬蛋糕
Stir Fry Shrimp and Vegetables,搅拌炒虾和蔬菜,虾仁炒青菜
Whole Wheat Banana Pancakes ,全麦香蕉薄煎饼（素）,全麦香蕉煎薄饼
Grits w/Kale and Fried Egg ,砂锅和炸鸡蛋（素）,粗面粉甘蓝配煎蛋
Okonomiyaki,大阪烧,日式烧饼
Sour Cream Vegetable Salad ,酸奶油蔬菜沙拉（素）,酸奶油蔬菜沙拉
Fresh Semolina Pasta ,新鲜面粉（素）,新鲜面条
Chicken Caesar Sandwich on Focaccia,鸡凯撒三明治在Focaccia,凯撒鸡肉三明治
Pesto Artchoke Pizza ,Pesto美食披萨（素）,香蒜酱洋蓟披萨
Grilled Turkey & Swiss on Whole Wheat,烤火鸡,烤火鸡配瑞士全麦面包
Summer Fruit Salad ,夏季水果沙拉（素）,夏日水果沙拉
M & M Bar  ,中号,M&M豆甜点
Tilapia with Red Curry Sauce ,罗非鱼与红咖喱酱（w /坚果）,罗非鱼配红咖喱酱
Vegetable Enchilada ,植物恩施拉达（素）,墨西哥辣炒蔬菜
Alfredo Sauce w/Chicken/Vegetables,Alfredo酱有鸡/蔬菜,阿尔菲勒多意面酱配鸡肉和蔬菜
Chinese Pulled Pork Sandwich,中国拔猪肉三明治,中国风味手撕猪肉三明治
Housemade Egg Rolls ,自制蛋卷（素）,自制鸡蛋卷
Sesame Roll ,芝麻卷（素）,芝麻卷
Cream Puff,泡芙,奶油泡芙
Oriental Salad ,东方沙拉（素）,东方风味沙拉
Sweet & Sour Tofu & Veggies,甜,糖醋豆腐炒蔬菜
Broccoli Cauliflower Stir Fry ,西兰花花椰菜炒菜（素）,西兰花炒菜花
Grilled Swiss and Bacon on Rye,烤瑞士和培根在黑麦,烤培根配黑麦
Raspberry Cr. Chz.Coffee Cake ,覆盆子Cr Chc咖啡蛋糕（w /坚果）,覆盆子咖啡蛋糕
French Dip Sandwich,法国浸三明治,法式三明治
Salami & Olive Pizza,萨拉米,香肠橄榄披萨
Marinara Sauce w/ Sausage,马里纳拉酱配香肠,马里纳拉酱配香肠
Garlic Cream Sauce with Vegetables ,大蒜酱油（素）,蒜蓉奶油沙司配蔬菜
Parmesan Herb Roll ,巴马草卷（素）,香草芝士卷
Far East Vegetable Soup ,远东蔬菜汤（素）,远东蔬菜汤
Fettuccine ,Fettuccine（素）,意大利宽面
White Wine Garlic Sauce with Chicken,白酒大蒜酱鸡肉,白葡萄酒蒜酱鸡肉
Housemade Whole Wheat Pasta ,全自动小麦面食（素）,家常全麦意粉
Garden Vegetable Marinara ,花园蔬菜Marinara（素）,花园蔬菜沙司
White Cake with Raspberry Filling ,白蛋糕与覆盆子馅（素）,覆盆子酱白蛋糕
Onion Roll ,洋葱卷（素）,洋葱卷
Turkey Sub Sandwich,火鸡小三明治,火鸡三明治
Black Bean & Rice Wet Burrito ,黑豆,黑豆&香米墨西哥卷饼
Cheese Pizza ,奶酪披萨（素）,芝士披萨
Green Curry Beef on Rice Noodles,米饭上的绿色咖喱牛肉（坚果,绿咖喱牛肉米粉
Thai Curry Tofu & Veg  ,泰国咖喱豆腐,泰式咖喱豆腐&蔬菜
Chinese Chicken Salad ,中国鸡肉沙拉,中式鸡肉沙拉
Cornbread ,玉米面包（素）,玉米面包
Chocolate Chip Bar ,巧克力棒（素）,巧克力棒
M&M Cookie  ,M,M&M 坚果曲奇饼
Minestrone Soup ,Minestrone汤（素）,意式蔬菜浓汤
BBQ Pork Spare Ribs,烧烤猪肉排骨,烧烤猪排
Lyonnaise Potatoes ,里昂土豆（素）,洋葱炸土豆
Baked Beans,烤豆,烤豆
Fish Taco,鱼拉饼,墨西哥鱼肉玉米卷
Papaya Salsa ,木瓜莎莎（素）,萨尔萨辣酱木瓜
Cheese Bread ,奶酪面包（素）,芝士面包
Toll House Pie ,收费台饼（素）,馅饼
Fried Potatoes & Onion ,炸土豆,洋葱炸土豆
Walnut Cinnnamon Coffee Cake ,核桃肉桂咖啡蛋糕（w /坚果）（素）,核桃肉桂咖啡蛋糕
Edamame & Pea Pod Salad ,毛豆,日本青豆&豌豆沙拉
Shredded Beef Tostada,切碎的牛肉Tostada,牛肉沫玉米圆饼
Baked Ziti ,烤Ziti（素）,意式烤通心面
Steamed Peas ,蒸豌豆（素）,蒸豌豆
Tuscan Panini ,托斯卡纳帕尼尼（素）,托斯卡纳三明治
Mocha Whoopie Pie,摩卡Who ie饼,摩卡果仁馅饼
Peanut Butter Bars  ,花生酱酒（w /坚果）（素）,黄油花生棒
Hummus  ,虎杖（w /坚果）（素）,鹰嘴豆泥
Thai Beef with Peanut Sauce ,泰式牛肉花生酱（含坚果）,泰式花生酱牛肉
Barley Stuffed Pepper ,大麦辣椒（素）,大麦夹心胡椒
Couscous ,咳嗽（素）,蒸粗麦粉
Marinara Sauce with Meatballs,马里纳拉酱肉丸,海员沙司酱肉丸
Mushroom Cream Sauce ,蘑菇奶油酱（素）,奶油蘑菇汤
Assorted Bread ,什锦面包（素）,什锦面包
New York Style Cheesecake ,纽约风格芝士蛋糕（素）,纽约芝士蛋糕
Vegetable Loveryinhaos Quiche ,蔬菜Loveryinhaos口香糖（素）,蔬菜乳蛋饼
Western Hash Brown ,西哈斯布朗（素）,西式马铃薯煎饼
Jack Cheese & Tomato Omelet ,杰克奶酪,芝士土豆煎蛋
Salsa Salad ,莎莎沙拉（素）,萨尔撒辣酱萨拉
Noodle Salad w/Roasted Broccoli &Kale,面条沙拉/烤西兰花,烤西兰花&甘蓝面条沙拉
Jack Cheese,杰克奶酪,杰克芝士
Sliced American Cheese ,切片美国奶酪（素）,美国切片芝士
Vietnamese Beef Sub (Banh Mi),越南牛肉（Banh Mi）,越南牛肉
Pasta with Grilled Vegetables ,烤蔬菜面食（素）,烤蔬菜意粉
Curly Fries ,卷发（素）,弯薯条
Orange Glazed Baby Carrots ,橙色釉面胡萝卜（素）,橙釉胡萝卜
Pozole Bar,波索酒吧,玉米肉汤
Homestyle Pozole with Condiments,自制Pozole调味品,家常调味玉米肉汤
Chicken Pozole,鸡Pozole,鸡肉玉米浓汤
Serrano Chile,塞拉诺智利,墨西哥红番椒
Chip Tortilla Pre-Cut,切片玉米饼预切,墨西哥薄饼片
Grilled Ham And Cheddar Sandwich,烤火腿和切达干酪三明治,切达干酪烤火腿三明治
Apple Crisp ,苹果酥脆（素）,苹果脆酥
Radish Loose,萝卜松散,萝卜酥
Chef's Choice Fish,Chefyinhaos选择鱼,厨师推荐的鱼
Pasta Primavera ,面食Primavera（素）,意式白桃花心木面
Baby Red Oven Roasted Potatoes ,婴儿红烤箱烤土豆（素）,烤红色小土豆
Sauteed Kale ,炒菜（素）,嫩煎甘蓝
Roasted Eggplant Sandwich ,烤茄子三明治（素）,烤茄子三明治
Ranch Style Beans,牧场风格豆,牧场大豆
Salsa de Tomatillo Verde ,Salsa de Tomatillo Verde（素）,萨尔萨粘果酸绿酱
Confetti Cake with Buttercream Icing,五彩纸屑蛋糕与奶油结冰,糖果奶油蛋糕
White Bean Basque Soup ,白豆巴斯克汤（素）,巴斯克白豆汤
Orange Scone ,橙色扫描（素）,英式橙味烤饼
Chocolate Chip Banana Bread Pudding ,巧克力香蕉面包布丁（素）,巧克力片香蕉面包布丁
Pork Fried Rice,猪排炒饭,猪肉炒饭
Beef Meatloaf,牛肉肉饼,牛肉饼
Black Olive Pizza on Wheat ,小麦上的黑橄榄披萨（素）,黑橄榄小麦披萨
Blueberry Pie ,蓝莓派（素）,蓝莓派
Fresh Vegetable Soup ,新鲜蔬菜汤（素）,新鲜蔬菜汤
Meatball Sub Sandwich,肉丸子三明治,肉丸三明治
Cheese Pizza on Wheat Crust ,小麦壳上的奶酪披萨（素）,脆皮芝士小麦披萨
Parmesan Pasta Salad ,巴马面食沙拉（素）,帕尔玛芝士意面沙拉
Sliced Pineapple ,菠萝菠萝（素）,菠萝片
Cream of Mushroom Soup ,蘑菇汤（素）,蘑菇奶油汤
Meatloaf,肉饼,肉饼
Spinach Rice Casserole ,菠菜米砂锅（素）,菠菜米饭炖锅
Potato Vegetable Soft Taco ,土豆蔬菜软豆饼（素）,墨西哥土豆蔬菜软卷
Black Bean Salsa ,黑豆莎莎（素）,萨尔萨风味黑豆
Wheat Penne Pasta ,小麦Penne Pasta（素）,意式小麦通心粉
Sourdough Rounds ,四面圆（素）,酵母面团
White Cake with Chocolate Frosting ,巧克力结霜白蛋糕（素）,霜冻白巧克力蛋糕
Thick Egg Bread French Toast ,厚蛋面包法国吐司（素）,法式鸡蛋厚面包
Three Cheese Quiche ,三个芝士蛋饼（素）,芝士乳蛋饼
Roasted Russet Breakfast Potatoes ,烤土豆早餐土豆（素）,烤土豆
Chili Macaroni,辣椒通心粉,辣味通心粉
Ratatouille ,拉图图,什锦炖菜
Jack Cheese Omelet w/Chiles ,杰克奶酪煎蛋卷/微笑（素）,只是煎蛋卷
Spinach Lentil Soup ,菠菜扁豆汤（素）,菠菜扁豆汤
Blueberry Scone ,蓝莓Scone（素）,蓝莓烤饼
Cinnamon Swirl Bread ,肉桂漩涡面包（素）,肉桂面包
London Broil,伦敦烤肉,伦敦烤肉
Mashed Red Potatoes ,泥土红土豆（素）,红薯泥
Pasta Carbonara,意大利面Carbonara,意式奶油培根面
Chocolate Chip Cake ,巧克力蛋糕（素）,巧克力蛋糕
Dilled Veggie Barley Soup ,Dilled素食大麦汤（素）,茴香大麦素材汤
Turkey Pot Pie,火鸡锅饼,火鸡饼
Creole Beans And Rice ,克里奥尔豆和米饭（素）,克里奥尔豆&米饭
Breakfast Quesadilla ,Quesadilla（素）,油炸玉米粉饼
Dried Cranberry Coconut Scone,干蔓越莓椰子（w /坚果）（素）,干蔓越莓椰子烤饼
Cinnamon Coffee Cake ,肉桂咖啡蛋糕（素）,肉桂咖啡蛋糕
Tofu Teriyaki Rice Bowl ,豆腐Teriyaki饭碗（素）,照烧豆腐饭
Chicken Chile Verde Burrito,鸡智利Verde墨西哥玉米煎饼,墨西哥红番椒鸡肉卷
Vegetable Turnover ,蔬菜周转（素）,蔬菜馅饼
Ham & Navy Bean Soup,火腿,火腿青豆汤
Fresh Basil Pesto ,新鲜罗勒Pesto（素）,罗勒香蒜沙司
Indian Lentils w/Long Grain Rice ,印度扁豆/长粒米（素）,印度扁豆&长粒米
Sausage,香肠,香肠
Garlic Pizza Sticks with Marinara Sauce,大蒜披萨棍棒与马里纳拉酱,意式海员酱蒜香披萨
Ricotta Pepper Bread ,奶油辣椒面包（素）,意式乳清芝士辣椒面包
Yellow Cake with Chocolate Icing ,带巧克力蛋糕的黄蛋糕（素）,巧克力凝霜黄蛋糕
Zucchini and Crookneck Squash ,西葫芦和Crookneck Squash（素）,绿皮西葫芦炒南瓜
Chicken Mushroom Pizza,鸡蘑菇披萨,蘑菇鸡肉披萨
Strawberry Cream Crepes ,草莓奶油绉纱（素）,草莓奶油薄饼
Chicken Soft Tacos,鸡软炸玉米饼,墨西哥鸡肉卷
Beef Taco,牛肉饼,墨西哥牛肉卷
Grilled Cheese w/Ham & Turkey on White,烤奶酪w /火腿,烤奶酪火腿和火鸡
Vietnamese Chicken Soup,越南鸡汤,越南鸡汤
Jalapeno Cheddar Roll ,Jalapeno Cheddar Roll（素）,墨西哥奶酪卷
Mint Stick ,薄荷棒（素）,薄荷棒
Oaatmeal Cocoa Chip Cookies,Oaatmeal可可粉饼干,燕麦可可曲奇
Marinated Broccoli & Bean Salad ,腌制西兰花,腌西兰花豆类沙拉
Grilled Tuscan Chicken,烤托斯卡纳鸡,托斯卡纳烤鸡
Mushroom Risotto ,蘑菇烩饭,蘑菇烩饭
Alfredo Sauce ,阿尔弗雷多酱（素）,阿尔费雷多酱
zAvocado Salsa ,zAvocado Salsa（素）,鳄梨沙司
Bread Whole Wheat French ,面包全麦（素）,法式全麦面包
Canadian Bacon,加拿大培根,加拿大培根
Lemon Yogurt Muffin (lf) ,柠檬酸奶松饼（lf）（素）,柠檬酸奶松糕
Banana Nut Bread  ,香蕉坚果面包（w /坚果）（素）,香蕉坚果面包
Organic Earl Grey Tea,有机伯爵灰茶,有机格雷伯爵茶
Pasta Salad with Grilled Veggies ,意大利面沙拉配烤肉（素）,通心粉沙拉加烤蔬菜
Sweet & Sour Pork,甜,酸甜猪肉
Asian Vegetable Stir Fry ,亚洲蔬菜炒（素）,亚洲炒菜
Roast Beef Sandwich with Gravy,烤牛肉三明治与肉汁,烤牛肉三明治配肉汁
Traditional Cheese Pizza on Wheat ,小麦传统芝士披萨（素）,传统小麦奶酪披萨
Chicken Rice Soup,鸡肉汤,鸡肉米汤
Grilled Chicken Tacos,烤鸡炸玉米饼,烤鸡玉米饼
Herb Roll ,草药卷（素）,青草卷
Orange Tofu ,橙豆腐（素）,陈皮豆腐
Rice Pilaf with Mushrooms ,米饭米饭（素）,蘑菇肉饭
Pasta ,面食（素）,面团
Bolognaise Sauce,博洛尼亚酱,番茄肉酱
Sun Dried Tomato Sauce ,太阳番茄酱（素）,番茄干酱
Yellow Cake with Mocha Frosting ,带蜡烛的黄蛋糕（素）,黄色摩卡蛋糕
