Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Mozzarella & Pesto Focaccia Sandwich ,奶酪,意大利干酪加香蒜面包三明治
Broccolli & Cauliflower Quesadilla ,Broccolli,花椰菜炸玉米粉饼
California Coleslaw ,加利福尼亚大肠杆菌（素）,加利福尼亚凉拌卷心菜
Bread Pudding with Whiskey Sauce ,面包布丁用威士忌酱（素）,面包布丁加威士忌酱
Ham & Egg Breakfast Sandwich,火腿,火腿鸡蛋早餐三明治
Chilequilles with Eggs ,带鸡蛋的智利（素）,鸡蛋Chilequilles
Whipped Cream ,鞭打奶油（素）,生奶油
Grilled Ham & Swiss on 100% Wheat,烤火腿,烤火腿加瑞士全麦
Thai Coleslaw Salad ,泰国凉拌卷心菜沙拉,泰式凉拌卷心菜沙拉
Sloppy Joes,邋遢乔,碎牛肉饼
Chicken Burrito,鸡肉卷饼,墨西哥鸡肉卷
White Pizza w/Bacon & Caramelized Onion,白色披萨W培根,培根和焦糖洋葱披萨
Killer Brownie ,杀手布朗尼（w /坚果）,杀手布朗尼蛋糕
Pork Chow Mein,猪肉炒面,猪肉炒面
Meatloaf with Mushroom Gravy,肉饼与蘑菇肉汁,蘑菇肉汁烘肉卷
Crookneck Squash with Herbs ,Crookneck南瓜与草药（素）,香草弯颈南瓜
Mixed Berry Pie,混合浆果馅饼,混合浆果馅饼
Vegetable Enchilada ,植物Enchilada（素）,蔬菜馅炸玉米饼
Cottage Fried Potatoes ,小屋炒土豆（素）,炒土豆
Brussels Sprout Salad w/Date&Apple ,布鲁塞尔芽菜沙拉/日期,孢子甘蓝沙拉
Pasta Salad with Spinach & Feta ,意大利面沙拉菠菜,羊奶酪菠菜意面沙拉
Wrap Bar,包装吧,食物卷
Tortilla Flour Jumbo Tomato 12&quot;,玉米饼面粉,玉米粉番茄
Tortilla Flour Jumbo Spinach 12&quot;,玉米饼大面粉菠菜12,玉米粉菠菜
Oven Roasted Turkey Breast (Deli),烤箱烤火鸡（Deli）,烤火鸡胸肉
Diced Chicken,鸡丁,鸡丁
Tofu,豆腐,豆腐
Jumbo Carrot,巨型胡萝卜,巨型萝卜
Baby Zucchini Squash,婴儿西葫芦南瓜,小南瓜
Cut Corn (Frozen),切玉米（冷冻）,碎玉米（冷冻）
Organic Caesar Dressing,有机凯撒敷料,有机凯撒酱
Veggie Burger ,素食汉堡,素食汉堡
Grilled Swiss & Tomato on WW ,烤瑞士人,瑞士烤番茄
Chocolate Cupcakes ,巧克力蛋糕（素）,巧克力纸杯蛋糕
Coleslaw ,大肠杆菌,卷心菜色拉
Bulgur Salad with Feta and Corn ,麸皮和玉米的保鲜沙拉（素）,干小麦羊奶酪玉米沙拉
Chicken Cacciatora Quarters,鸡Cacciatora季,罐焖鸡肉
Wild Mushroom Turnover ,野生蘑菇小馅饼（素）,野生蘑菇馅饼
Roasted Broccoli ,烤西兰花（素）,烤花椰菜
Asian Chicken Wrap ,亚洲鸡肉卷（w /坚果）,亚洲鸡肉卷
Vietnamese Lettuce Boat w/Beef,越南生菜船牛肉,越南生菜牛肉
Cuban Sandwich,古巴三明治,古巴三明治
Cinnamon Roll ,肉桂卷（素）,肉桂卷
Mediterranian Couscous  ,（w /坚果）（素）,鲈鱼蒸粗麦粉
Thai Peanut Sauce  ,泰式花生酱（w /坚果）（素）,泰式花生酱
Cactus Taco ,仙人掌玉米饼（素）,仙人掌塔克饼
Asian Fish Taco,亚洲鱼饼,亚洲鱼塔克饼
Grilled Jack/Chile & Veg.Sandwich ,烤杰克/智利,智利三明治
Ginger Basmati Rice,生姜大米,姜香米
Oatmeal Raisin Cookie ,燕麦饼干（素）,燕麦葡萄干曲奇
Indian Chicken Curry ,印度鸡肉咖喱（坚果）,印度咖喱鸡
Meatless Tamale Pie ,无肉的玉米饼馅饼（素）,素食玉米馅饼
Sauteed Fresh Cauliflower ,炒花菜（素）,炒新鲜花椰菜
Canadian Cheese Soup ,加拿大奶酪汤（素）,加拿大奶酪汤
Focaccia with Vegetables & Pesto ,Focaccia与蔬菜,蔬菜香蒜橄榄油面包
Cilantro Jalapeno Lime Sauce ,香菜Jalapeno柠檬酱（素）,香菜胡椒柠檬汁
Tofu Stir Fry ,豆腐炒（素）,炒豆腐
Grilled Turkey Pastrami & Jack Sandwich,烤火鸡Pastrami,烤火鸡胸肉加杰克三明治
Green Beans Provencal Salad ,绿豆普罗旺斯沙拉（素）,绿豆普罗旺斯沙拉
Pesto Rolls,香蒜酱卷,香蒜酱卷
Ground Beef and Bean Tostada,地面牛肉和豆Tostada,细牛肉豆炸玉米粉圆饼
Zucchini Cake w/Cr Chz Icing ,西葫芦蛋糕/ Cr Chz Icing（w /坚果）（素）,南瓜饼
Butterscotch Bar  ,奶油酒吧（w /坚果）（素）,奶油糖果
Omelets Made To Order,煎蛋卷订做,定制煎蛋饼
Fresh Cage Free Egg,散养鸡蛋,新鲜的有机鸡蛋
Green Bell Pepper,绿色甜椒,灯笼椒
Chicken Sesame Noodle Salad,鸡芝麻面条沙拉,鸡肉芝麻面条
Chicken Club Sub,鸡俱乐部,鸡肉汉堡
Shrimp Quesadilla,虾Q illa,鲜虾玉米饼
Vegetable Kung Pao  ,宫爆蔬菜（w /坚果）（素）,蔬菜宫保
Roasted Vegetable Panini ,烤蔬菜帕尼尼（素）,烤蔬菜帕尼尼
Cornbread Jalapeno Muffin,玉米饼Jalapeno松饼,墨西哥玉米松饼
Mint Sticks ,薄荷棒（素）,薄荷棒
Lime Bars,石灰酒吧,石灰酒吧
Herb Roasted Chicken,草药烤鸡,香草烤鸡
Polenta with Fresh Herbs & Marinara ,橄榄油与新鲜草药,香草杂菜玉米粥
Mushroom Marinara Sauce ,蘑菇马里纳拉酱（素）,蘑菇番茄大蒜酱
Miniature Marshmallow,微型棉花糖,迷你棉花糖
Bread Poppyseed Cheese Onion ,面包罂粟奶酪洋葱（素）,奶酪洋葱罂粟籽面包
Italian Cream Cake ,意大利奶油蛋糕（有坚果）,意大利奶油蛋糕
Strawberry Cream Coffee Cake ,草莓奶油咖啡蛋糕（w /坚果）,草莓奶油咖啡蛋糕
Quinoa Salad ,藜麦沙拉（素）,藜麦沙拉
Corn Dogs,玉米狗,玉米热狗
Tuna Salad Croissant Sandwich,金枪鱼沙拉羊角面包三明治,金枪鱼沙拉牛角包三明治
Steamed Broccoli/Caulif Flowerettes,蒸西兰花/ Caulif Flowerettes（素）,蒸西兰花/花椰菜
Make Your Own Pizza Line,制作自己的披萨线,DIY 披萨
Pizza Crust,披萨,酥皮披萨
Pizza Sauce ,披萨酱（素）,披萨酱
Pepperoni,意大利辣味香肠,意大利辣香肠
Sliced Natural Swiss ,切自然瑞士（素）,切片芝士
Sesame Beef with Broccoli,芝麻牛肉与西兰花,芝麻酱西蓝花炒牛肉
Vegetable Chop Suey ,炒时蔬（素）,炒时蔬
Herb Marinated Swai Fish,草药腌制Swai鱼,烤Swai鱼排
Lemon Garlic Sauce ,柠檬蒜酱（素）,大蒜柠檬酱
Steamed Zucchini ,蒸西葫芦（素）,西葫芦
Salami Pizza,萨拉米萨披萨,萨拉米香肠披萨
Assorted Bell Pepper Pizza on Wheat ,小麦上的胡椒披萨饼（素）,胡椒小麦披萨
Thai Tom Ka Soup w/Tofu  ,泰国汤姆汤与豆腐（w /坚果）（素）,泰式豆腐汤
Grass Fed Burger,草美食汉堡,美式汉堡
Grilled Cheese on Sourdough ,烤牛肉（S）,烤芝士配酸面包
Whole Wheat Cheese Onion Roll ,全麦干酪洋葱卷（素）,全麦芝士洋葱卷
Flan ,弗兰（素）,蛋奶冻布丁
Zebra Bar  ,斑马吧（w /坚果）（素）,白巧克力威化棒
Balsamic Vinegar,香醋,意式香醋
EVO Olive Oil,EVO橄榄油,橄榄油
Roasted & Salted Pumpkin Seed,烤,盐烤南瓜子
Nicoise Pasta Salad,Nicoise意面沙拉,蔬菜意面沙拉
Greek Eggplant Salad ,希腊茄子沙拉（素）,希腊式茄子沙拉
Chicken & Vegetable Stir Fry,鸡肉蔬菜炒饭,蔬菜炒鸡肉
Stir Fry Vegetables with Tofu ,用豆腐搅拌炒蔬菜,蔬菜炒豆腐
Turkey A La King,火鸡阿拉王,奶油火鸡炖菜
Steamed Whole Baby Carrots ,蒸全胡萝卜（素）,水煮小胡萝卜
Buttered Beets ,黄油甜菜（素）,黄油炖甜菜
Three Bean Pilaf ,三豆饼（素）,三豆饭
Buttered Noodles ,面条（素）,黄油面条
Greens and Beans Soup ,绿豆汤（素）,蔬菜豆子汤
Penne with Chicken and Mushrooms,Penne与鸡和蘑菇,蘑菇鸡肉斜管面
Angel Hair Pasta ,天使头发面食（素）,意式天使细面
Tomato Basil & Garlic Sauce ,番茄罗勒,番茄罗勒大蒜酱
Pecan Pie  ,山核桃饼（w /坚果）（素）,坚果派
Herb Biscuit ,草本饼干（素）,香料饼干
Navel Orange,脐橙,脐橙
Broccoli Cheese Soup ,西兰花芝士汤（素）,西蓝花芝士汤
Turkey Club Wrap,火鸡俱乐部卷,火鸡卷
Hard Shell Chicken Taco,硬壳鸡肉玉米饼,鸡肉玉米卷
Bean and Rice Burrito ,豆和米饭（素）,豆子米饭墨西哥卷
Tomato Salsa ,番茄酱（素）,番茄酱
Vegetable & Jalapeno Pizza on Wheat ,蔬菜,全麦蔬菜披萨
Cheese Ravioli with Marinara ,奶油馄饨与马里纳拉（素）,意式芝士饺子配番茄酱
Wheat Penne Primavera ,小麦Penne Primavera（素）,意式蔬菜斜管面
Grilled Cheddar on Whole Wheat ,全麦烤切丁（素）,全麦切达芝士披萨
Shoestring French Fries ,炸薯条（素）,炸薯条
Crunchy Fruit Salad  ,脆脆水果沙拉（w /坚果）（素）,脆脆水果沙拉
Santa Fe Salad ,圣菲沙拉（素）,圣菲沙拉
Crusty French Bread ,脆皮法国面包（素）,脆皮法式面包
Ginger Cookie ,姜饼（素）,姜饼曲奇
Cheesecake Cookie ,芝士蛋糕饼干（素）,芝士蛋糕曲奇
Green Cabbage,绿色卷心菜,卷心菜
Beef Brisket,牛胸肉,烤牛胸肉
Garlic Mashed Red Potatoes ,大蒜泥土红土豆（素）,大蒜番薯泥
Beef Gravy,牛肉汁,牛肉汁
Garlic Mushroom Turnover ,大蒜蘑菇营业额（素）,大蒜蘑菇酥皮饼
Vegetable Saute ,蔬菜酱,盐炒蔬菜
Beef Nachos,牛肉玉米片,玉米片+牛肉碎
Black Bean & Rice Tostada ,黑豆,黑豆饭玉米饼
Garlic Cream Sauce with Chicken,大蒜奶油酱与鸡,鸡肉佐大蒜奶油酱
Fettuccine Pasta ,Fettuccine面食（素）,意大利宽面
Pesto Sauce ,香蒜酱（素）,罗勒酱
Linguini Pasta ,Linguini意大利面（素）,意大利细面
Three Grain Bread ,三粒面包（素）,杂粮面包
Devilyinhaos Food Cupcake W/Fudge Icing ,Devilyinhaos食品蛋糕W / Fudge Icing（素）,纸杯蛋糕
Cheeseburger,芝士汉堡,芝士汉堡
Black Bean Burger ,黑豆汉堡（素）,黑豆汉堡
Grilled Cheese Sandwich on White ,白色奶酪三明治（素）,烤芝士配面包
Chicken Quesadilla,鸡Quesadilla,墨西哥烤鸡煎饼
Soup,汤,汤
Late Night Salad Bar,深夜沙拉吧,自助沙拉
Brownie w/Icing ,布朗尼（I）（素）,巧克力糖霜布朗尼蛋糕
Arroz con Leche ,阿罗斯・莱切（素）,西班牙牛奶米饭布丁
Huevos Rancheros,墨西哥煎蛋,墨西哥式煎蛋
Blueberry Coffee Cake ,蓝莓咖啡蛋糕（素）,蓝莓咖啡蛋糕
Fair Trade Organic Decaf Corazon Coffee,公平贸易有机脱咖啡因科拉松咖啡,脱咖啡因咖啡
Roasted Sunflower Seed,烤葵花子,烤葵花籽
Tabasco Sauce,塔巴斯科辣椒酱,塔巴斯科辣椒酱
Heirloom Caprese Salad ,传家宝Caprife沙拉（素）,意大利番茄马苏里拉奶酪沙拉
Mandarin Orange Spinach Salad ,中国橙菠菜沙拉（素）,菠菜橘子沙拉
Spirals w/Grill Chicken & S.D.Tom Salad,螺旋与烤鸡,烤鸡螺旋意面沙拉
Canneloni with Tomato Sauce,Canneloni加番茄酱,意式番茄通心面
Chicken Soft Taco,鸡软玉米饼,鸡肉玉米饼
Grilled Veg & Pesto Focaccia Sandwich,烤蔬菜,罗勒酱烤蔬菜三明治
Fresh Spinach ,鲜菠菜（素）,新鲜菠菜
Lentil & Brown Rice Soup ,扁豆,扁豆粳米汤
Ham & Pineapple Pizza,火腿菠萝披萨,火腿菠萝皮萨
Honey Wheat Raisin Roll ,蜂蜜小麦葡萄干卷（素）,蜂蜜葡萄干全麦卷
Vanilla Pudding ,香草布丁（素）,香草布丁
Scotcheroo  ,苏格兰罗根（w坚果）（素）,巧克力ti甜点
Cucumber & Avocado Sushi Roll ,黄瓜,牛油果黄瓜寿司卷
Sliced Turkey Pastrami,火鸡片Pastrami,烟熏火鸡片
Radish,萝卜,萝卜
Salisbury Steak with Barbecue Sauce,索尔兹伯里牛排配烧烤酱,索尔兹伯里牛肉饼配烧烤酱
Cashew Chicken ,腰果鸡（w /坚果）,腰果炒鸡丁
Jasmine Rice ,茉莉花,泰式茉香米
Quiche Swiss Chard & Herb ,Quiche瑞士Chard,瑞士香料乳蛋饼
Garlic Mashed Potatoes ,大蒜土豆泥（素）,大蒜土豆泥
Sauteed Winter Greens ,嫩油冬青（素）,盐炒冬青
Peas & Carrots ,豆和胡萝卜,豌豆炒胡萝卜
Chicken Gumbo Soup,秋葵雏鸡汤,鸡肉杂烩汤
Turkey Sausage Marinara Sauce,火鸡香肠马里纳拉酱,番茄火鸡香肠酱
White Wine & Vegetable Cream Sauce ,白酒,白葡萄酒奶油蔬菜酱
Fusilli Pasta ,Fusilli面食（素）,螺旋意面
Small Pasta Shells ,小面食壳（素）,贝壳意面
Macaroni & Cheese Bar,通心粉,芝士h通心粉
Macaroni & Cheese ,通心粉,芝士h通心粉
Pico De Gallo ,皮科德・加洛（素）,墨西哥式碎番茄粒酱
Baby Spinach,婴儿菠菜,嫩菠菜
Sun-Dried Tomato Bread ,太阳番茄面包（素）,番茄干面包
Salmon Sushi Roll,三文鱼寿司卷,三文鱼寿司卷
zCrunchy Fruit Salad  ,zcrunchy水果沙拉（w /坚果）（素）,水果坚果沙拉
Egg Drop Soup,蛋花汤,蛋花汤
Breakfast Casserole,早餐砂锅,早餐乱炖
Banana Pancakes ,香蕉薄煎饼（素）,薄煎饼配香蕉
Fresh Hash Browns ,新鲜的哈希布朗（素）,炸薯饼
Mushroom & Cheese Omelet ,蘑菇,芝士蘑菇煎蛋卷
Plain Omelet ,平煎蛋卷（素）,煎蛋卷
Sliced Mushrooms ,切菇（素）,切片蘑菇
Bagels-Breads & Cereals-See for Choices,百吉饼面包,百吉饼面包和多种类早餐麦片
Pumpkin Bread  ,南瓜面包（w /坚果）（素）,南瓜面包
Caramel Nut Roll  ,焦糖坚果卷（w /坚果）（素）,焦糖坚果卷
Organic Breakfast Blend Tea,有机早餐混合茶,早餐茶
Chicken Salad Croissant Sandwich,鸡肉沙拉羊角面包三明治,鸡肉沙拉羊角面包三明治
Bacon Cheeseburger,培根芝士汉堡,培根芝士汉堡
Chicken Chimichangas,鸡Chimichangas,鸡肉墨西哥炸卷饼
Potato Chips ,土豆片（素）,土豆片
Bacon and Cheese Omelet,培根和奶酪煎蛋卷,培根和奶酪煎蛋卷
Beef Soft Tacos,牛肉软玉米饼,墨西哥牛肉卷
Cheese Pizza on White ,白色芝士披萨（素）,白色芝士披萨
Sweet and Sour Pork,甜酸猪肉,酸甜猪肉
Spinach & Feta Turnover ,菠菜,菠菜与羊乳酪
White Wine Sauce & Vegetables ,白葡萄酒酱,白葡萄酒酱与蔬菜
Beet Orange & Fennel Salad ,甜菜橙,甜菜橙与茴香沙拉
Vegetable Corn Taco ,蔬菜玉米饼（素）,蔬菜玉米饼
Ham and Cheese Crepes,火腿和奶酪绉纱,火腿和奶酪绉纱
Danish Pastry  ,丹麦糕点（w /坚果）（素）,丹麦甜糕饼（带坚果）
Citrus Caprese Salad ,柑橘酱沙拉（素）,柑橘意大利番茄沙拉
Sloppy Joe Sandwich,Sloppy Joe三明治,炒牛肉酱三明治
Harissa Lentils w/Pickled Onion ,哈里萨扁豆w /腌洋葱（素）,哈里萨扁豆（带腌洋葱）
Garlic Naan Bread ,蒜蓉面包（素）,蒜蓉面包
Orange Pickled Carrot Coins ,橙腌胡萝卜硬币（素）,橙汁胡萝卜
Beef Pho,牛肉蛋糕,牛肉越南粉
Sausage Biscuit w/Cheese and Egg,香肠饼干，奶酪和鸡蛋,香肠烤饼（带芝士鸡蛋）
Green Chile & Cheese Tamale ,绿色智利,青辣椒和奶酪塔麦酒
Kale with Fresh Garlic ,甘蓝与新鲜大蒜（素）,甘蓝和鲜大蒜
Chipotle Bean Burger ,Chipotle Bean Burger（素）,尖椒豆汉堡
Soup Roasted Tomato ,汤烤番茄（素）,烤番茄汤
Pasta Shells Florentine ,意大利面贝壳佛罗伦萨（素）,糊壳弗洛伦萨
Lemon Poppyseed Muffin ,柠檬罂粟松饼（素）,柠檬罂粟籽松饼
BLT on Wheat,小麦BLT,BLT小麦
Chicken Chile Verde Tostada,鸡智利Verde Tostada,智利烤鸡玉米饼
Tomato Quesadilla ,番茄酱（素）,番茄酱
Pesto Sauce  ,番茄酱（w /坚果）（素）,番茄酱加坚果
Vanilla Cheesecake ,香草芝士蛋糕（素）,香草芝士蛋糕
Rigatoni Mozzerella ,Rigatoni Mozzerella（素）,肋状通心粉
Moorish Pork Chops,摩尔人排骨,摩尔猪排
Moroccan Lemon Carrots ,摩洛哥柠檬胡萝卜（素）,摩洛哥柠檬胡萝卜
Miso Broth with Spinach ,米糠肉汤（素）,米糠肉汤
Fried Egg & Ham Sandwich,煎鸡蛋,煎鸡蛋和火腿三明治
Chinese BBQ Pork,中国烧烤猪肉,中国烧烤猪肉
Grilled Turkey & Jack on Wheat,烤火鸡,烤火鸡和小麦
Cucumbers With Tarragon Salad ,黄瓜与塔拉戈拉沙拉（素）,黄瓜与塔拉戈拉沙拉
Oatmeal Lace Cookie ,燕麦饼干（素）,燕麦饼干
Grilled Chicken Quarters,烤鸡舍,烤鸡舍
Lasagna,烤宽面条,卤汁面条
Fresh Fish Sandwich on Potato Bun,鲜鱼三明治马铃薯饼,土豆包鲜鱼三明治
Pao De Quejo ,宝德奎jo（素）,
Smoked Chicken Chipotle Quarters,烟熏鸡肉馅饼店,烟熏鸡肉馅饼块
French Onion Soup with Croutons,法国洋葱汤与小吃,法式洋葱汤与烤面包块
Calamari/Scallop & Mung Noodle Salad,鱿鱼/扇贝,鱿鱼／扇贝
Thai Curry Vegetables ,泰国咖喱蔬菜（素）,泰国咖喱蔬菜
Turkey Club Sandwich,火鸡俱乐部三明治,火鸡三明治
Antipasta Pizza,开胃披萨,开胃披萨
Vegetarian Taco Pizza on Wheat ,素食玉米饼小麦披萨（素）,素小麦玉米饼披萨
Beef Fajitas,牛肉春饼,牛肉春饼
Fresh Carrots with Tarragon ,新鲜胡萝卜与塔拉贡（素）,鲜胡萝卜和塔拉贡
Open Faced Chicken Salad on Bagel,打开面包鸡肉沙拉百吉饼,百吉饼与开面鸡肉沙拉
Wheat Pasta w/Fresh Tom/Basil/Garlic,小麦面食w /新鲜汤姆/罗勒/大蒜（素,小麦面食w /新鲜汤姆/罗勒/大蒜
Chocolate Macaroon ,巧克力麦克龙（素）,巧克力马卡龙
Grilled Chicken Breast,烤鸡胸肉,烤鸡胸肉
Fresh Lemon Cake ,新鲜柠檬蛋糕（素）,新鲜柠檬蛋糕
Raspberry Swirl Coffee Cake ,覆盆子漩涡咖啡蛋糕（w /坚果）（素,覆盆子漩涡咖啡蛋糕（带坚果）
Chicken Salad Pita,鸡肉沙拉皮塔,鸡肉沙拉皮塔饼
Spicy Lemon Peanut Sauce ,辣柠檬花生酱（有坚果）,辣柠檬花生酱（带坚果）
Beef Empanada,牛肉Empanada,牛肉馅卷饼
Dilled Vegetable Barley Soup ,莳萝蔬菜大麦汤（素）,莳萝蔬菜大麦汤
Japanese Noodle Salad ,日式面条沙拉（素）,日式面条沙拉
Grilled Tilapia,烤罗非鱼,烤罗非鱼
Al Forno Salami and Ham Pizza,Al Forno萨拉米茄和火腿披萨,阿尔弗美萨拉米和火腿披萨
Grilled Herb Marinated Chicken Sandwich,烤草药腌制鸡肉三明治,烤香草鸡肉三明治
Barley Vegetable Soup ,大麦蔬菜汤（素）,大麦蔬菜汤
Whole Baby Carrots ,整个小胡萝卜（素）,小胡萝卜
Marble Cake w/Chocolate Icing ,大理石蛋糕w /巧克力冰（素）,大理石蛋糕（带巧克力糖霜）
Catfish Poyinhao Boy Sandwich,鲶鱼Poyinhao男孩三明治,鲶鱼三明治
Harissa Chicken/Bulgur/Apricot Salad,哈里萨鸡肉/保鲜/杏子沙拉,哈里鸡肉／布格麦／杏子沙拉
Miso Glazed Swai Fish,味噌釉面Swai鱼,味噌Swai鱼面
Thai Sweet Chili Sauce ,泰国甜辣酱（素）,泰国甜辣酱
Tomato Basil Pizza on Wheat,番茄罗勒披萨小麦,番茄罗勒披萨（带小麦）
Roasted Butternut Squash Soup ,烤胡桃南瓜汤（素）,烤胡桃南瓜汤
Everything Flatbread Naan ,一切平底锅Naan（素）,混合馅馕
Carrot Cupcakes  ,胡萝卜蛋糕（w /坚果）（素）,胡萝卜蛋糕（带坚果）
Blintzes ,Blintzes（素）,薄饼
Herb Marinated Rotisserie Chicken,草药腌制烤肉鸡,香草腌制烤鸡
Beef Gumbo,牛肉Gumbo,牛肉浓汤
Cornbread Dressing,面包调料汁,面包调料汁
Croissant ,牛角面包（素）,牛角面包
Pepperoni Calzone,辣椒Calzone,意大利辣香肠
Sesame Chicken w/Asian Vegetables,芝麻鸡/亚洲蔬菜,芝麻鸡和亚洲蔬菜
Stir Fry Veg w/Thai Swt Chili Sauce,搅拌炒肉/泰国Swt辣椒酱（素）,炒蔬菜和泰国Swt辣椒酱
Grilled Turkey Pastrami & Swiss Sandwich,烤火鸡Pastrami,烤火鸡三明治和瑞士三明治
Asian Slaw ,亚洲档（素）,亚洲卷心菜沙拉
Sour Cream & Chive Roll ,酸奶油,酸奶油和韭菜卷
Potato Gorda with Corn ,马铃薯戈达与玉米（素）,马铃薯戈达和玉米
Honey Lime Barbecue Chicken,蜂蜜柠檬烧鸡,蜂蜜柠檬烧鸡
Tomato and Roasted Garlic Sauce ,番茄和烤蒜酱（素）,番茄和烤蒜酱
Farfalle w/Grilled Vegetables ,Farfalle w /烤蔬菜（素）,蝴蝶面与烤蔬菜
Steamed Broccoli and Cauliflower ,西兰花和花椰菜（素）,西兰花和花椰菜
Oatmeal Craisin Cookie ,燕麦饼干饼干（素）,燕麦饼干
Asian Stir Fry Vegetables ,亚洲炒菜（素）,亚洲炒菜
Quesadilla w/ Rstd Poblano Chiles ,Quesadilla w / Rstd Poblano Chiles（素）,
Grilled Turkey Sandwich Swiss/Wheat,烤火鸡三明治瑞士/小麦,瑞士烤火鸡三明治／小麦
Devils Food Cupcake w/CrmCheese Icing,恶魔食品蛋糕w / CrmCheese结冰（素）,魔鬼食品蛋糕（带奶油干酪糖冰）
Vegetable Barley Soup ,蔬菜大麦汤（素）,蔬菜大麦汤
Fruit Cheer ,水果欢呼（素）,水果
Scrambled Eggs with Bacon &Cheese,炒鸡蛋与培根,炒鸡蛋加培根和奶酪
