Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Smokey Barbecue Sauce,烟熏烧烤酱,烟熏烧烤酱
Homemade Ranch Dressing ,自制牧场敷料（素）,自制农场沙拉酱
Sweet & Sour Sauce ,甜,酸甜酱
Wheat Germ Bread ,小麦面包（素）,小麦芽面包
Cream Cheese Brownie Pie ,奶油奶酪布朗尼馅饼（素）,奶油芝士布朗尼派
Strawberry Pancakes ,草莓煎饼（素）,草莓煎饼
Applesauce Bread  ,苹果面包（w /坚果）（素）,苹果沙司面包
Pasta Salad with Smoked Salmon,意大利面沙拉配烟熏三文鱼,烟熏三文鱼意面沙拉
Sweet & Sour Tofu/Veggies  ,甜,酸甜豆腐/蔬菜
Beef and Bean Tostada,牛肉和豆Tostada,牛肉豆子炸玉米粉卷饼
Vegetable Tostada Bowls,蔬菜Tostada碗,蔬菜炸玉米粉卷饼
Corn with Red Peppers ,红辣椒玉米（素）,红胡椒玉米
Danish Cauliflower Cheese Soup ,丹麦花椰菜芝士汤（素）,丹麦花椰菜芝士汤
Grilled Swiss & Tomato on Wheat ,烤瑞士人,烤瑞士芝士土豆
Baba au Rum ,巴巴澳门（素）,甜酒浸蛋糕
White Choc Macadamia Cookie  ,白巧克力澳洲坚果（w /坚果）（素）,白巧克力坚果曲奇
Noodles ,面条（素）,面条
Turkey & Vegetable Stir Fry,火鸡,火鸡蔬菜盖浇饭
Roast Leg of Pork,烤猪腿,烤猪腿
Corn on the Cob ,玉米在Cob（素）,玉米
Roasted Potato Wedges ,烤土豆楔子（素）,烤土豆楔子
Three Grain Rice Pilaf  ,三粒米饭（w /坚果）（素）,谷物肉饭
Sesame Green Beans ,芝麻绿豆（素）,芝麻绿豆
Peas And Carrots ,豌豆和胡萝卜（素）,豌豆胡萝卜
Mexican Chocolate Cake ,墨西哥巧克力蛋糕（素）,墨西哥巧克力蛋糕
Tomato Soup w/Fresh Vegetables ,番茄汤和新鲜蔬菜（素）,番茄鲜蔬汤
Spicy Citrus Turkey Stir Fry,辣柑橘土豆搅拌炒,辣柑橘拌火鸡
Ginger Beef Pepper Steak,姜牛肉牛排,生姜胡椒牛排
Polenta with Marinara Sauce ,玉米粥与马里纳拉酱（素）,谷物粥拌马里那拉酱
Fresh Tomato Basil Sauce ,新鲜番茄罗勒酱（素）,鲜番茄罗勒酱
Blueberry Muffin Square ,蓝莓松饼块（素）,蓝莓松饼块
Vegetable Noodle Soup ,蔬菜面汤（素）,蔬菜面汤
Grilled Chicken w/ Ginger,烤鸡肉/姜,姜烤鸡肉
Fusili and Cheese Casserole ,法西利和芝士砂锅（素）,螺旋面芝士焙盘
Beef Tostada,牛肉Tostada,牛肉炸玉米粉圆饼
Quesadilla w/Roasted Poblano Chile ,Quesadilla w /烤Poblano智利（素）,油炸玉米粉饼/烤青红椒
Kahlua Chocolate Cake ,Kahlua巧克力蛋糕（素）,香甜咖啡酒巧克力蛋糕
Cheese Quesadilla ,奶酪蛋糕（素）,芝士蛋糕
Cranberry Orange Bread  ,蔓越莓橙面包（w /坚果）（素）,蔓越莓橙子面包
Colorful Confetti Coleslaw ,五彩五彩纸卷饼（素）,缤纷糖果拌卷心菜
Cajun Fish,Cajun鱼,香辣鱼
Vegetable Chili ,蔬菜辣椒（素）,蔬菜红椒
Mushroom Barley Soup,蘑菇大麦汤,蘑菇大麦汤
Patty Melt,帕蒂熔体,牛肉片
Vegetarian Patty Melt ,素食馅饼（素）,素食馅饼
Apple Cinnamon Pancakes ,苹果肉桂煎饼（素）,苹果肉桂薄饼
Whole Wheat Apple Nut Muffin ,全麦苹果坚果松饼（w /坚果）（素）,全麦苹果坚果松饼
Chinese Chicken with Summer Vegetables,中国鸡与夏季蔬菜,中式鸡配夏季时蔬
Vegetable Egg Roll ,蔬菜蛋卷（素）,蔬菜蛋卷
Ham & Cheese,火腿,芝士火腿
Pesto and Vegetable Pizza on Wheat ,小茴香和蔬菜披萨饼（素）,蒜香沙司蔬菜披萨
Rosemary Roll ,迷迭香卷（素）,迷迭香卷
Fresh Baked Acorn Squash Quarters ,新鲜的橡果壁龛（素）,鲜焙碎橡果块
Pulled Pork Sandwich,拉猪肉三明治,猪肉三明治
Baby Carrots ,婴儿胡萝卜（素）,迷你胡萝卜
Chicken Sope,鸡精灵,鸡肉玉米饼
Fresh Marinated Vegetable Salad ,新鲜腌制蔬菜沙拉（素）,鲜制蔬菜沙拉
Mozzarella Cheese ,莫扎雷拉奶酪（素）,莫扎雷拉芝士
Fiery Spiced Potatoes ,火鸡五香（素）,香烤土豆
Chicken Sandwich on Sesame Bun,鸡三明治芝麻面包,芝麻面包鸡肉三明治
Egg Sausage Biscuit Sandwich w/Cheese,蛋香肠饼干三明治带奶酪,鸡蛋香肠饼干三明治可带奶酪
Raspberry White Choc Muffin ,覆盆子白c松饼（素）,山莓白巧克力松饼
Bowtie Pasta with Summer Vegetables,Bowtie面食与夏季蔬菜（素）,意大利通心粉配夏季时蔬
Pot Roast,炖肉,炖肉
Roasted Root Vegetables ,烤根蔬菜（素）,烤根块类蔬菜
Beef Chili Sauce with Beans,牛肉辣椒酱与豆类,牛肉辣椒酱配豆子
Sauerkraut ,酱油（素）,德国酸菜
Sweet Pickle Relish,甜腌咸味,甜腌开胃菜
Brownie Pie ,布朗妮饼（素）,布朗尼派
Vegetable Teriyaki Rice Bowl ,蔬菜Teriyaki饭碗（素）,蔬菜照烧盖浇饭
Macaroni Goulash,通心粉果汁,蔬菜牛肉通心粉
Georgeyinhaos Vegetable Taco ,Georgeyinhaos蔬菜薄饼卷（素）,蔬菜薄玉米卷
Olive Mushroom Pizza on White ,橄榄蘑菇披萨白色（素）,橄榄蘑菇披萨
Pozole with Condiments,Pozole调味品,墨西哥浓汤
Grilled Tuna & Cheese on Sourdough,烤金枪鱼,烤金枪鱼披萨
Lemon Glazed Cookie ,柠檬釉面饼干（素）,柠檬曲奇
Irish Soda Bread ,爱尔兰苏打面包（素）,爱尔兰苏打面包
Chicken Musroom Picatta Pasta,鸡肉肉饼Picatta面食,鸡肉蘑菇意面
Teriyaki & Broccoli Beef,照烧,照烧西兰花牛肉
Grilled Mozzarella & Basil Sandwich ,烤不干酪,烤干酪罗勒三明治
Thai Noodle Salad ,泰式面条沙拉（坚果）,泰式面条沙拉
Killer Brownie ,杀手布朗妮（素）,杀手布朗尼蛋糕
Sweet & Sour Glazed Chicken,甜,酸甜釉鸡
Pineapple Rice ,菠萝饭（素）,菠萝饭
Turkey Hard Taco,火鸡硬玉米饼,火鸡炸玉米饼
Chilaquiles de Queso (No Egg) ,（无鸡蛋）（素）,奶酪玉米饼
French Peach Crumb Pie,法国桃子馅饼,法国桃子馅饼
Grilled Turkey Sandwich w/Swiss on Wheat,烤火鸡三明治w /瑞士小麦,烤火鸡三明治
Oatmeal Raisin Bar  ,燕麦片（w /坚果）（素）,燕麦块
Texas Style French Toast,德州风味法式吐司,德州风味法式吐司
Tri Tip Sandwich,三提三明治,烤切片牛肉三明治
Crisp Mixed Berry ,酥脆混合浆果（素）,香脆混合浆果
Salisbury Steak with Mushroom Gravy,索尔兹伯里牛排配蘑菇肉汁,牛肉饼配蘑菇鸡肉汁
Homemade Orange Chicken,自制橙鸡,自制陈皮鸡
Pot Stickers ,锅贴（素）,锅贴
Fresh Pesto ,新鲜香肠（素）,鲜松子青酱
Glazed Raisin Bread ,釉面葡萄干面包（素）,葡萄干面包
Chicken Curry Salad ,鸡肉咖喱沙拉（含坚果）,鸡肉咖喱沙拉
Hot Turkey Sandwich,热火鸡三明治,热火鸡三明治
Miso Broth ,味噌汤（素）,味增汤
Oatmeal Raisin Quinoa Cookie ,燕麦饼干（素）,燕麦曲奇
Ginger Pepper Steak,姜辣椒牛排,姜汁胡椒牛排
Taco Rajas ,塔科拉贾斯,墨西哥炸玉米饼
Homemade Devilyinhaos Food Cake ,自制Devilyinhaos食物蛋糕（素）,自制Devilyinhaos蛋糕
Apple Bishopyinhaos Coffee Cake ,苹果Bishopyinhaos咖啡蛋糕（素）,苹果咖啡蛋糕
Cucumber & Onion Salad ,黄瓜,黄瓜洋葱沙拉
Green Bean Almondine  ,绿豆杏仁（w /坚果）（素）,绿豆杏仁
Miso Broth with Udon Noodles ,乌斯面食味噌肉汤（素）,味增汤配乌冬面
Pao de Queijo ,保德奎约（素）,奶酪面包
Peanut Butter Fudge Cupcake  ,花生酱软糖蛋糕（w /坚果）（素）,花生酱软糖蛋糕
Broccoli Almond Salad  ,西兰花杏仁沙拉（w /坚果）（素）,西兰花杏仁沙拉
Teriyaki Chicken Rice Bowl,Teriyaki鸡饭碗,照烧鸡肉饭
Grilled Snapper,烤鲷鱼,烤鲷鱼
Garlic & Caper Butter Sauce ,大蒜,大蒜水瓜柳黄油酱
Vietnamese BBQ Beef Sub,越南烧烤牛肉,越南烧烤牛肉
Chicken Mole Enchiladas,Mole酱鸡肉卷,莫勒酱鸡肉卷
Ham and Pineapple Pizza,火腿和菠萝披萨,火腿菠萝披萨
Fettuccine Alfredo ,Fettuccine Alfredo（素）,奶油意式宽板面
Adobo Sauce ,Adobo酱（素）,酸甜调味酱
Chocolate Chip Pancakes ,巧克力薄煎饼（素）,巧克力薄饼
Sub Sandwich,子三明治,三明治
Chicken Tettrazini,鸡Tettrazini,脆皮鸡
Pesto Pizza ,Pesto披萨饼（素）,蒜香沙司披萨
Rosemary Focaccia Bread,迷迭香Focaccia面包,迷迭香香草橄榄油面包
Black & White Brownie ,黑色,黑白布朗尼蛋糕
Carrot Cake Cupcake  ,胡萝卜蛋糕蛋糕（w /坚果）（素）,胡萝卜蛋糕
Chicken Char Siu,烤酥鸡,烤酥鸡
Moo Shu Bar,摩朔酒吧,木须块
Turkey Moo Shu,火鸡Moo Shu,火鸡木须
Vegetable Moo Shu ,蔬菜Moo Shu（素）,蔬菜木须
Teriyaki Beef Sushi Roll,Teriyaki牛肉寿司卷,照烧牛肉寿司卷
Curry Cauliflower Salad  ,咖喱花椰菜沙拉（w /坚果）（素）,咖喱花椰菜沙拉
Spicy Italian Wrap,辣意大利卷,辣意大利卷
Herb Marinated Chicken Breast Sandwich,草药腌制鸡胸肉三明治,草药腌制鸡胸肉三明治
Dijon Mustard,第戎芥末,法式芥末糊
Peach Pie s ,桃饼（w /坚果）（素）,桃子派
Roast Turkey Breast,烤火鸡胸,烤火鸡胸
Spinach And Feta Turnover ,菠菜和奶油周转（素）,菠菜乳酪卷饼
Fresh Cranberry Sauce ,新鲜蔓越莓酱（素）,新鲜蔓越莓酱
Cajun Rice,Cajun Rice,香辣饭
Mid Western Coleslaw ,中西部大肠杆菌（素）,中西部凉拌卷心菜
Organic Sharlyn Melon,有机沙林甜瓜,沙林沙拉
Orange Nut Muffin  ,橙螺母松饼（w /坚果）（素）,英格兰坚果松糕
Pork Fusion Salad,猪肉融合沙拉,猪肉混合沙拉
Korean Sriracha Beef Wrap,韩国鱿鱼牛肉卷,韩国牛肉卷
Vegetable Stromboli ,蔬菜Stromboli（素）,蔬菜卷饼
Milky Way Brownie Bite ,银河系（B）,牛奶布朗尼蛋糕
Chickpea Thumbprint Cookie s ,鹰嘴豆拇指饼干（w /坚果s（素）,鹰嘴拇指小瓶干
Spanish Rice w/Roasted Corn ,西班牙米饭/烤玉米（素）,西班牙米饭／烤玉米
Grilled Zucchini & Tomatoes ,烤西葫芦,烤西葫芦／烤西红柿
Roasted Mixed Vegetables ,烤混合蔬菜（素）,烤蔬菜
Black Beans w/Brown Rice & Cilantro,黑豆/糙米,黑豆／糙米
Spicy Shrimp Sushi,辣虾寿司,辣虾寿司
Asparagus & Egg Roll ,芦笋,芦笋蛋卷
Vegetarian Cuban Sandwich ,素食古巴三明治（素）,古巴蔬菜三明治
Chimichurri Sauce ,Chimichurri酱（素）,阿根廷辣酱
Mushroom Ragout Over Herb Polenta ,蘑菇R out草莓（素）,蘑菇粥
Sweet Potato & Apple Stuffing,甘薯,甘薯／苹果馅
Tunisian Swai,突尼斯Swai,突尼斯Swai鱼
Pesto Zucchini Soup ,西葫芦汤（素）,青酱配西葫芦汤
Tomato Pesto Pizza on Wheat Crust ,番茄酱小麦地皮披萨（素）,番茄青酱全麦披萨
Tossed Italian Greens ,意大利绿党（素）,意大利混合蔬菜
Cinnamon and Sugar Muffin ,肉桂和糖松饼（素）,肉桂松糕
Spicy Vegetable Stir Fry ,辣蔬菜炒（素）,辣炒蔬菜
Banana Nut Cake  ,香蕉坚果蛋糕（w /坚果）（素）,香蕉配坚果蛋糕
Seedless Red Grape,无核红葡萄,无籽红葡萄
Caprese Flatbread w/Balsamic Redux ,Caprese薄饼w / Balsamic Redux（素）,卡普路饼／葡萄酒醋
Greek Tomato Sauce,希腊番茄酱,希腊番茄酱
Fried Potato with Onion ,炒土豆与洋葱（素）,洋葱炒土豆
Apple Chutney ,苹果酸辣酱（素）,苹果酸辣酱
Chimichurri Steak Ancient Grains Bowl,Chimichurri牛排古代谷物碗,阿根廷谷物牛排
Peas ,黄豆（素）,豌豆
Cheese Tortellini ,奶酪Tortellini（素）,意式芝士饺
Fresh Pesto Sauce ,新鲜酱油（素）,鲜香蒜酱
Ground Beef Marinara Sauce,地面牛肉马里纳拉酱,牛肉酱蒜
Hamburger,汉堡包,汉堡包
Garden Veggie Burger ,花园素食汉堡（素）,素食汉堡
Grilled Cheese Sandwich ,烤奶酪三明治（素）,烤奶酪三明治
Chicken Noodle Soup,鸡肉面条汤,鸡肉面条汤
Roasted Garlic Bread ,烤蒜面包（素）,烤蒜面包
Chocolate Raspberry Cake ,巧克力蛋糕（素）,巧克力红梅蛋糕
Organic Mixed Spring Lettuce,有机混合春莴苣,有机混合春莴苣
Cauliflower Florette,花椰菜Florette,花菜
Red Bell Pepper,红柿子椒,红灯椒
Baked Oatmeal w/ Apples & Cinnamon ,烤苹果燕麦粥,烤苹果燕麦肉桂粥
Huevos Rancheros ,Huevos Rancheros（素）,煎蛋卷
Energy Bar ,能量棒（w /坚果）,能量棒
Festive Rice Salad ,节日米饭（素）,米饭沙拉
Tomato And Mozzerella Salad ,番茄和弥勒沙拉（素）,番茄和弥勒沙拉
Roasted Red Pepper Hummus ,烤红辣椒（素）,烤椒豆泥
Spanish Tortilla ,西班牙玉米饼（素）,西班牙玉米饼
Green Beans ,绿豆（素）,绿豆
Potato Cheese Soup ,土豆奶酪汤（素）,土豆奶酪汤
Steamed Fresh Carrots ,蒸新鲜胡萝卜（素）,蒸新鲜胡萝卜
Asian Spicy Peanut Wrap ,亚洲辣花生卷（素）,亚洲辣花生卷
Vegetable Moussaka ,蔬菜穆萨卡（素）,蔬菜穆萨卡
Cherry Tomato Goat Cheese Herb Pizza ,樱桃番茄山羊奶酪香草披萨（素）,樱桃番茄山羊奶酪蔬菜披萨
Onion & Jalapeno Pizza on Wheat ,洋葱,洋葱胡椒披萨
Chipotle Bean Flauta ,Chipotle Bean Flauta（素）,炒豆卷
Grilled Cheese /Tom & Herbs on Wheat ,烤奶酪/汤姆,烤奶酪／番茄蔬菜小麦包
Cowboy Cookie Bar ,牛仔饼干吧（素）,牛仔夹心饼干
Garlic French Bread ,大蒜法式面包（素）,大蒜法式面包
French King Cake  ,法国国王蛋糕（素）（w /坚果）,法国国王蛋糕
Fried Egg Korma with Rice ,米饭炒鸡蛋（素）（w /坚果）,咖喱炒蛋饭
Vegetable Stir Fry ,蔬菜炒（素）,快炒蔬菜
Brown Rice Artichoke Casserole ,糙米朝鲜蓟砂锅（素）,糙米洋蓟砂锅
Arabiata  ,阿拉伯数（w /坚果）（素）,蒜蓉番茄红辣椒酱
Spanakopita ,Spanakopita（素）,希腊派
Sauteed Cabbage & Carrots ,炒卷心菜,希腊式馅饼
Mushroom Strogonoff,蘑菇Strogonoff,牛肉炖蘑菇
Fasolada Soup ,Fasolada汤（素）,绿豆汤
Spirals with Marinara Sauce ,与Marinara酱（素）的螺旋,意式番茄酱面条
Peach Cobbler ,酥皮桃子馅饼（素）,酥皮桃子馅饼
Whole Wheat Sourdough Bread ,全麦面包（素）,全麦酵母面包
Curry Chicken Soup,咖喱鸡汤,咖喱鸡汤
Beef Caesar Wrap,牛肉凯撒裹,可萨牛肉卷
Cut Green Beans ,切绿豆（素）,绿豆切丁
Chicken Taco,鸡肉炸玉米饼,墨西哥鸡肉卷
Black Bean & Rice Quesadilla ,黑豆,黑豆饭卷
Rice with Corn & Roasted Chiles ,玉米饭,烤椒玉米饼
Roasted Tomato and Chile Salsa ,烤番茄和智利莎莎（素）,烤番茄和萨尔萨辣酱
Greek Pizza ,希腊披萨（素）,希腊披萨
Tomato Basil Pizza ,番茄罗勒披萨（素）,番茄罗勒披萨
Chinese Chicken w/Spring Vegetables,中国鸡肉/春季蔬菜,中式鸡肉／春季蔬菜
Char Burger,烤肉汉堡,烤肉汉堡
Grilled Mozzarella/Tom on 100% Wheat ,100％小麦上的烤烟酪/汤姆（素）,全麦烤奶酪
Fresh Garden Pasta Salad ,鲜花面食沙拉（素）,素面食沙拉
Potato Roll ,土豆卷（素）,土豆卷
Snickerdoodle ,Snickerdoodle（素）,糖果曲奇
Peanut Butter Bar  ,花生酱酒吧（w /坚果）（素）,花生黄油棒
Diced Tomatoes,切丁西红柿,切丁西红柿
Blackened Fish,黑化鱼,香煎鱼
French Cut Green Beans ,法语切绿豆（素）,法式绿豆
Herb Polenta w/ Mushroom Ragout ,草甘膦与蘑菇Ragout（素）,蔬菜蘑菇粥
Beef Chorizo Quesadilla,牛肉Chorizo\u200b\u200b Quesadilla,牛肉香肠油炸玉米饼
Ricotta Chile Enchilada ,丽台智利Enchilada（素）,意大利乳清干酪智利卷饼
Fresh Tomato Salsa ,新鲜番茄酱（素）,新鲜番茄萨尔萨辣酱
Tomato Pesto Pizza ,番茄酱披萨饼（素）,番茄酱披萨
Beef Pad Thai ,牛肉泰国面（w /坚果）,泰式牛肉粉
Vegetable & Tofu Kung Pao  ,蔬菜,宫保豆腐
Devil's Food Cake w/Cream Chz Icing ,Devilyinhaos食物蛋糕/奶油Chz结冰（素）,恶魔芝士蛋糕
Grilled Cheese Sandwich on WW ,WW（素）烤芝士三明治,烤芝士三明治
Grilled Turkey & Swiss Sandwich,烤火鸡,烤火鸡&瑞士三明治
Brownie ,布朗妮（素）,"核仁巧克力蛋糕
"
Orange Cinnamon Bread French Toast,橙肉桂面包法国吐司（素）,肉桂面包法式吐司
Grilled Ham Steaks,烤牛排牛排,铁排火腿
Chocolate Chip Scone ,巧克力碎片（素）,巧克力烤饼
Sweetened Coconut Flake,甜椰子片,甜椰子片
Fresh Green Bean Salad ,新鲜绿豆沙拉（素）,新鲜绿豆沙拉
Turkey Meatloaf with Chipotle Glaze,火鸡肉饼与Chipotle釉,火鸡肉和辣椒
Mashed Yam ,泥泞的（素）,芋泥
Beef Burrito,牛肉卷饼,牛肉卷饼
Chile Relleno Casserole ,智利Relleno砂锅（素）,
Potato Leek Soup ,土豆韭菜汤（素）,土豆韭菜饼
BLT Panini,BLT帕尼尼,培根生菜番茄三明治
Sourdough Roll ,酸奶卷（素）,酵母卷
Orange Glazed Cookie ,橙色釉面曲奇饼（素）,橙色釉面曲奇饼
Banana Chocolate Chip Bread ,香蕉巧克力面包（素）,香蕉巧克力面包
Asparagus & Egg Sushi Roll ,芦笋,芦笋鸡蛋寿司卷
Jack Cheese ,杰克奶酪（素）,杰克奶酪
Black Bean,黑豆,黑豆
Beef Lasagna,牛肉烤宽面条,牛肉烤宽面条
Breaded Pork Chops,面包猪排,猪排面包
Vegetable Taco ,蔬菜薄饼卷（素）,蔬菜薄饼卷
Honey Spiced Sweet Potatoes ,蜂蜜五香甘薯（五）,蜂蜜甜辣土豆
Mixed Vegetables ,混合蔬菜（素）,混合蔬菜
Sauteed Butternut Squash ,炒鱿鱼（素）,炒南瓜
Vegetable Beef Soup,蔬菜牛肉汤,蔬菜牛肉汤
Marinara Sauce with Shrimp,马里纳拉酱与虾,海员沙司虾酱
Rotelli ,罗特利（素）,卷心粉
Waffle Bar,华夫饼吧,华夫饼
Blueberry Sauce ,蓝莓酱（素）,蓝莓酱
Tater Tots ,Tot Tots（素）,炸薯球
Strawberry Topping,草莓上衣,草莓顶料
Hot Fudge Topping,热软胶顶,软糖顶料
Heavy Cream,重霜,重奶油
Boston Cream Pie ,波士顿奶油馅饼（素）,波士顿奶油馅饼
Spicy Scallop Sushi Roll,辣扇贝寿司卷,辣扇贝寿司卷
Sustainable Tangerine,可持续的橘子,橘子
Sriracha Sauce,拉差辣酱,Sriracha辣酱
Scrambled Eggs with Ham & Cheese,炒鸡蛋搭配火腿,炒鸡蛋配火腿
Raspberry Pancakes ,覆盆子薄煎饼（素）,覆盆子煎饼
Ham & Cheese Omelet,火腿,火腿芝士煎蛋卷
Omelet,煎蛋卷,煎蛋卷
Diced Ham,火腿切丁,火腿切丁
Rasp Swirl Coffee Cake  ,蔷薇漩涡咖啡蛋糕（w /坚果）（素）,蔷薇漩涡咖啡蛋糕
Pinch Bread ,捏面包（素）,
Zucchini Salad w/Dill & Feta ,西葫芦沙拉有莳萝,西葫芦乳酪沙拉
Balsamic Chicken Quarters,香肠鸡舍,香肠鸡块
Broccoli Cheese Calzone ,西兰花芝士Calzone（素）,西兰花芝士馅饼
Whole Wheat Spaghetti ,全麦意大利面（素）,全麦意大利面
Seafood Risotto,海鲜烩饭,海鲜烩饭
Sweet Potato Curry ,红薯咖喱（素）,红薯咖喱
Basmati Rice ,巴斯马蒂米,印度香米
Asparagus with Lemon Butter ,柠檬黄油芦笋（素）,柠檬黄油芦笋
Chicken Burger,鸡肉汉堡,鸡肉汉堡
Vegetable Burger ,蔬菜汉堡（素）,蔬菜汉堡
New England Clam Chowder,新英格兰蛤蜊汤,新英格兰蛤蜊奶油浓汤
Whole Grain Blend  ,全麦混合（w /坚果）（素）,全麦坚果
Pinto Beans ,平豆（素）,斑豆
Whole Wheat Tortilla ,全麦麦片（素）,全麦玉米薄烙饼
Roasted Yam ,烤燕麦（素）,烤白薯
Goat Cheese & Tomato Panini ,山羊奶酪,山羊乳酪番茄意大利三明治
Wheat Germ Roll ,小麦胚芽卷（素）,小麦卷
Chocolate Chip Cookie ,巧克力饼干（素）,巧克力饼干
Zucchini Bread ,西葫芦面包（w /坚果）,西葫芦坚果面包
Calamari Sushi Roll,卡拉马里寿司卷,鱿鱼寿司卷
Sandwiches Grilled to Order,三明治烧烤订购,烤肉三明治（可订购）
American Cheese ,美国奶酪（素）,美国奶酪
Provolone Cheese ,Provolone Cheese（素）,意大利波萝伏洛干酪
Tuna Salad,金枪鱼沙拉,金枪鱼沙拉
Sliced Ham,切片火腿,切片火腿
Sliced Roast Beef,烤牛肉,切片烤牛肉
Salami Italian Dry,萨拉米意大利干,意大利蒜味腊肠
Roasted Chicken Breast,烤鸡胸肉,烤鸡胸肉
Miso Glazed Salmon,味噌釉面三文鱼,味增三文鱼
Potato Gorda with Black Beans ,黑豆土豆（素）,土豆与黑豆
Oven Browned Potatoes ,烤箱褐土豆（素）,烤土豆
Sauteed Zucchini with Garlic ,大蒜西葫芦（素）,大蒜西葫芦
Steamed Whole Baby Carrot ,蒸全胡萝卜（素）,蒸胡萝卜
Chickpea Vegetable Soup ,鹰嘴豆蔬菜汤,鹰嘴豆蔬菜汤
