Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Marinara Sauce with Chicken & Zucchini,马里纳拉酱与鸡肉,意式番茄酱鸡肉与西葫芦
Roasted Pepper Marinara Sauce ,烤辣椒马里纳拉酱（素）,意式番茄酱烤辣椒
Rigatoni ,Rigatoni（素）,通心粉
Whole Wheat Penne Pasta ,全麦面包（素）,全麦尖管通心粉
Nacho Bar,纳乔吧,烤干酪辣味玉米片
Nacho Cheese Sauce ,纳乔奶酪酱（素）,烤干酪辣味玉米片与奶酪酱
Spiced Chicken,五香鸡,五香鸡
Chips Tortilla La Tolteca,薯片玉米饼La Tolteca,玉米片
Sliced Olive,切橄榄,橄榄片
Sliced Jalapeno Pepper,切胡椒辣椒,辣椒片
Green Onion,葱,葱
Sour Cream,酸奶油,酸奶油
Fresh Salsa,新鲜莎莎,新鲜墨西哥洋葱调味汁
Cornmeal Berry Cake ,玉米饼浆果（素）,浆果燕麦面包
Vegetable Sushi Roll ,蔬菜寿司卷（素）,蔬菜寿司卷
Soy Milk,豆浆,豆浆
Fruit Compote Salad ,水果沙拉（素）,糖渍水果沙拉
Spinach Mushroom Crepes ,菠菜蘑菇绉纱（素）,博采蘑菇薄饼
Strawberry Cream Crepe ,草莓奶油绉纱（素）,草莓奶油薄饼
Turkey Bacon,火鸡培根,火鸡培根
Fried Potatoes and Onions ,炒土豆和洋葱（素）,炸薯条与洋葱
Fried Eggs ,炸鸡蛋（素）,炸鸡蛋
Grilled Vegetable and Bean Burrito ,烤蔬菜和豆腐（素）,烤蔬菜与(豆子)玉米煎饼
Blueberry Turnover ,蓝莓营业额（素）,蓝莓半圆卷饼
Raspberry White Chocolate Muffin ,覆盆子白巧克力松饼（素）,覆盆子白巧克力松饼
Fresh Fruit Salad ,新鲜水果沙拉（素）,新鲜水果沙拉
Marinated Cucumbers w/ Tarragon ,腌制黄瓜w / Tarragon（素）,腌黄瓜与龙蒿叶
Roasted Broc Salad w/Fregola &Tahini ,烤Broc沙拉w/Fregola &Tahini ,烤花椰菜与鹰嘴豆泥
Egg Salad ,蛋沙拉（素）,鸡蛋沙拉
Corned Beef,肉牛肉,咸牛肉
Mole Chicken Drumstick,鼹鼠鸡鼓,烤制鸡腿
Chili Verde Chicken,辣椒鸡,辣椒鸡
Bean Rice & Cheese Burrito,糯米饭,豆子饭与奶酪玉米煎饼
Tomato & Roasted Corn Salsa ,番茄,番茄与烤玉米墨西哥调味汁
Pasta Bar,面食酒吧,意大利面
Spaghetti ,意粉（素）,意粉
Fettucine ,Fettucine（素）,黄油酱汁面条
Creamy Cajun Sauce ,奶油酱酱（素）,法国奶油酱
Sauce Marinara Sauce with Chicken,酱马里拉酱酱鸡,意大利番茄酱鸡
zChunky Marinara Sauce ,zChunky Marinara酱（素）,浓郁意大利番茄酱
Grilled Turkey Burger on Wheat w/Jack,烤火鸡汉堡在小麦w /杰克,烤火鸡包(小麦面包)
Malibu Burger ,马里布汉堡（素）,马里布汉堡
Jeffyinhaos Turkey Melt,Jeffyinhaos火鸡熔化,火鸡三明治
Steak Fries ,牛排薯条（素）,薯条
Whole Wheat Pasta with Olive Oil ,全麦面食橄榄油（素）,橄榄油全麦意大利面
Pizza Bread ,披萨面包（素）,披萨面包
Granola Crunch Cookie  ,（素）坚果（素）,坚果脆饼
Black and White Brownie ,黑白布朗妮（素）,黑白布朗尼蛋糕
Fresh Spinach,新鲜菠菜,新鲜菠菜
Lemon,柠檬,柠檬
Shredded Carrot,切碎的胡萝卜,碎胡萝卜
Red Cabbage,红卷心菜,红卷心菜
Broccoli Florette,西兰花Florette,西兰花
Cucumber,黄瓜,黄瓜
Cherry Tomato,圣女果（小番茄）,圣女果(小番茄)
Steamed Crookneck Squash ,蒸的Crookneck Squash（素）,蒸南瓜
Roasted Pear and Beet Salad,烤梨和甜菜沙拉,烤梨与甜菜沙拉
Snapper Vera Cruz,鲷鱼维拉克鲁兹,维拉克鲁斯鲷鱼
Vegetable Pot Pie ,蔬菜锅馅饼（素）,蔬菜馅饼
Rice with Cilantro & Onions ,米饭与香菜,米饭与香菜洋葱
Sauteed Kale & Collard Greens ,炒鱿鱼,嫩煎羽衣甘蓝
Fresh Vegetable Medley w/Spinach ,新鲜蔬菜混合物与菠菜（素）,新鲜蔬菜与菠菜
BBQ Chicken Sandwich,烧烤鸡三明治,烧烤鸡肉三明治
Asian Influenced Vegetable Wrap ,亚洲影响蔬菜卷（素）,亚洲蔬菜卷
Thai Coleslaw  ,泰国高丝布（w/坚果）（素）,泰国坚果凉拌卷心菜
Onion Rings ,洋葱圈（素）,洋葱圈
Taco Nacho Line,塔科纳豆线,墨西哥煎玉米卷与玉米片
Taco Shells,玉米饼,玉米卷饼
Fresh Tortilla Chips ,新鲜玉米饼（素）,新鲜玉米薄脆饼
Spiced Ground Turkey,五香火鸡火鸡,五香火鸡
Cheese Sauce ,奶酪酱（素）,奶酪酱
Chopped Lettuce and Tomato ,莴苣和番茄（素）,碎生菜与番茄
Shredded Cheddar and Jack Cheese ,切丝切丁和杰克奶酪（素）,碎切达干酪与杰克奶酪
Onion,洋葱,洋葱
Avocado Salsa ,鳄梨酱（素）,墨西哥牛油果调味汁
Fresh Cilantro,新鲜香菜,新鲜香菜
Lentil Soup ,扁豆汤,小扁豆汤
Cheese Bread,奶酪面包,奶酪面包
Marble Cake ,大理石蛋糕（素）,大理石蛋糕
Wild Rice Blend ,野稻混合（素）,菰米;野生稻米
Pancake ,煎饼（素）,薄烤饼
Eggs Benedict,鸡蛋本笃会,半熟鸡蛋
Hash Browns ,哈希布朗（素）,薯饼
Doughnut ,甜甜圈（素）,甜甜圈
Raspberry Swirl Coffee Cake s,覆盆子漩涡咖啡蛋糕（素）（w /坚果,覆盆子咖啡蛋糕卷
Whole Wheat Bread,全麦面包,全麦面包
Taco Salad,薄饼卷拉沙拉,墨西哥煎玉米卷沙拉
Spinach Pasta Salad ,菠菜面食沙拉（素）,菠菜意大利面沙拉
Grilled Vegetable ,烤蔬菜（素）,烤蔬菜
Sliced Cheddar Cheese ,切实切达干酪（素）,切达干酪片
Steamed Red Potatoes w/Parsley ,蒸的红薯与欧芹（素）,蒸红薯和欧芹
Bean & Cheese Wet Burrito ,豆,豆子芝士湿玉米饼
Bean and Cheese Tostada ,豆和奶酪Tostada（素）,豆子芝士炸玉米饼
Chicken Chimichanga,鸡Chimichanga,鸡肉墨西哥炸卷饼
Herb & Garlic Crusted Swai,草本植物,草本大蒜烤Swai鱼排
Italian Sub Sandwich,意大利小三明治,红洋葱
Red Sweet Onion,红洋葱,意大利小三明治
Beef Gyro,牛肉陀螺,牛肉三明治
Sauteed Crookneck Squash ,Sauteed Crookneck Squash（素）,干煎南瓜
Tuna Wrap,金枪鱼卷,吞拿鱼卷
Wild Mushroom Cream Sauce ,野生蘑菇酱（素）,野生蘑菇酱
Macaroni and Cheese ,通心粉和奶酪（素）,芝士通心粉
Watermelon,西瓜,西瓜
Pineapple,菠萝,菠萝
Asian Chicken Salad ,亚洲鸡肉沙拉（含坚果）,亚洲鸡肉沙拉
Cuban Panini,古巴帕尼尼,古巴帕尼尼
Poppyseed Cheese Onion Roll,罂粟奶酪洋葱卷,罂粟芝士洋葱圈
Whole Green Beans ,全绿豆（素）,绿豆
Char Grilled Pork Chops,烧烤猪排,烤猪扒
Vegetable Chimichanga ,蔬菜Chimichanga（素）,蔬菜鸡肉卷饼
Scrambled Eggs w/ Cheese & Mushroom ,炒鸡蛋/奶酪,芝士蘑菇炒鸡蛋
Carrot Bread  ,胡萝卜面包（w /坚果）（素）,胡萝卜面包
Swiss Chard & Herb Tart ,瑞士甜菜,瑞士香料馅饼
Wheat Berry Salad ,小麦浆果沙拉（素）,小麦浆果沙拉
Asian Pork & Green Bean Stir Fry,亚洲猪肉,亚洲猪肉炒绿豆
Green Apple Slaw ,绿苹果Slaw（素）,青苹果沙拉
Smoked Turkey Breast,烟熏火鸡胸,烟熏火鸡胸
BBQ Babyback Pork Ribs,烧烤宝宝背部猪排,烧烤猪扒
Smoked Beef Brisket,烟熏牛肉火腿,烟熏牛肉火腿
Roasted Corn on the Cob ,Cob上的烤玉米（素）,烤玉米
Grilled Ono with Fruit Salsa,烤小野菜与水果莎莎,烤野菜和水果莎莎酱
Four Cheese Pesto Pizza ,四奶酪馅饼披萨饼（素）,奶酪披萨
Vegetable Jalapeno Pesto Pizza on Wheat,蔬菜Jalapeno Pesto披萨饼在小麦上,蔬菜墨西哥胡椒披萨
Greek Pasta with Feta Tomato & Spinach,希腊面食与番茄番茄,希腊芝士意面
Grilled Ham & Cheese on Sourdough,烤火腿,烤芝士火腿
Grilled Chicken & Bean Burrito,烤鸡肉,烤火腿豆子玉米饼
Black Bean and Rice Burrito ,黑豆和米饭（素）,黑豆和米饭玉米饼
Hummus/Avo/Tom/Jack/Wheat Sandwich ,Hummus / Avo / Tom / Jack / Wheat三明治（素）,小麦三明治
Savory Rice ,咸味米（素）,咸味米
Chile Verde,智利佛得角,智利绿酱
Caddy Ganty Fish,球童甘地鱼,大比目鱼
Grilled Chicken Quarters w/Ginger,烤鸡舍/姜,生姜烤鸡
Stuffed Shells with Marinara ,与马里纳拉（素）,杂菜贝类
Peanut Butter Banana Cake  ,花生酱香蕉蛋糕（素）（w /坚果）,花生酱香蕉蛋糕
Cucumber Salad ,黄瓜沙拉（素）,黄瓜沙拉
Whole Grain Blend ,全粒混合（素）,全麦杂粮
Hummus ,Hummus（素）,鹰嘴豆泥
Ranch Potato Salad ,牧场马铃薯沙拉（素）,牧场土豆沙拉
Tangy Apple Cabbage Slaw ,丹麦苹果卷心菜（素）,苹果卷心菜沙拉
BBQ Pork Spare Rib,烤肉排骨,烧烤排骨
Alabama BBQ Sauce ,阿拉巴马烧烤酱（素）,阿拉巴马烧烤酱
South Carolina Rub ,南卡罗来纳州,南卡罗莱纳香料
Mustard BBQ Sauce ,芥末烧烤酱（素）,芥末烧烤酱
Carolina Pulled Pork Sandwich,卡罗来纳州拉猪肉三明治,卡罗莱纳猪肉三明治
Eech ,Eech（素）,美式小麦沙拉
Armenian Eggplant Salad,亚美尼亚茄子沙拉,亚美尼亚茄子沙拉
Armeninan Potato Salad,亚美尼亚土豆沙拉,亚美尼亚土豆沙拉
Lahmojoun With Beef,Lahmojoun与牛肉,牛肉饼
Lahmojoun ,Lahmojoun（素）,面饼
Khachapuri ,哈卡普里（素）,哈卡普里
Joojukh Soup,Joojukh汤,调味酸奶
Armenian Pork Shish Kebab,亚美尼亚猪肉香肠,亚美尼亚猪肉香肠
Armenian Vegetable Shish Kebab ,亚美尼亚菜蔬菜,亚美尼亚蔬菜
Blinchiki with Lamb,Blinchiki与羔羊,羊肉布利尼
Choereg (Armenian Easter Bread),Choereg（亚美尼亚复活节面包）,复活节面包
Mafroukeh with Ashta Cream,Mafroukeh与Ashta奶油,坚果饼和奶油
Shamali ,沙玛利亚（素）,柠檬蛋糕
Iced Ceylon Tea,冰晶锡兰茶,冰锡兰茶
Beefy Eggs Machaca,牛肉马丘卡,牛肉鸡蛋卷饼
Grilled Veg on Whole Wheat Baguette ,全麦面包烤面条（素）,烤蔬菜和面包
Grilled Pastrami Sandwich w/Jack/Wheat,烤ami子三明治w /杰克/小麦,烤茄子三明治
Chicken Parmigiana,鸡Parmigiana,鸡肉烤茄子
Bean and Cheese Burrito ,豆和芝士卷饼（素）,豆子芝士卷饼
Margherita Pizza ,玛格丽特披萨（素）,玛格丽特披萨
Chilequilles (No Egg) ,智利（无鸡蛋）（素）,玉米饼
Light Cream Cheese,淡奶油奶酪,淡奶油芝士
Bermuda Salad ,百慕大沙拉（素）,百慕大沙拉
Chicken Stir Fry with Green Beans,鸡肉搅拌炒青豆,鸡肉炒青豆
Smoked Pork Loin and Gouda Sandwich,烟熏猪肉和Gouda三明治,熏猪肉三明治
Falafel ,法拉费尔（素）,油炸团子
Bread Olive ,面包橄榄（素）,面包橄榄
Cashew Veggie Tofu ,腰果蔬菜豆腐,腰果蔬菜豆腐
North African Stew ,北非炖肉,北非炖肉
Tomato and Leek Marinara ,番茄和韭菜Marinara（素）,番茄韭菜意面
Cake Devilyinhaos Food with Fudge Icing,蛋糕Devilyinhaos食物与软糖,软糖蛋糕
Turkey Stir Fry with Veggies & Noodles,火鸡搅拌炒蔬菜,火鸡蔬菜炒面
Marinara Sauce with Chicken & Mushrooms,马里纳拉酱与鸡肉,鸡肉马里纳拉酱和蘑菇
Turkey Provolone & Garlic Aoli Panini,火鸡Provolone,火鸡芝士帕尼尼
Vegetable Rice Soup ,蔬菜汤（素）,蔬菜米饭汤
Turkey Focaccia Sandwich,火鸡Focaccia三明治,火鸡三明治
Broccoli Mushroom Noodle Casserole ,西兰花蘑菇面条砂锅（素）,西兰花蘑菇面条
Whole Wheat Sunflower Roll ,全麦向日葵卷（素）,全麦向日葵卷
Peach Crumb Pie  ,桃子馅饼（w /坚果）（素）,桃子馅饼
Penne with Sun Dried Tomato ,Penne与太阳番茄（素）,番茄干
Chorizo Spiced Potato Quesadilla ,香茅五香薯ato（素）,香茅土豆墨西哥馅饼
Fried Chicken PoyinhaoBoy Sandwich,炸鸡PoyinhaoBoy三明治,炸鸡三明治
Marinara Sauce with Mushrooms ,马里纳拉酱蘑菇（素）,马里纳蘑菇酱
Pepita,Pepita,南瓜子
Grilled Ham and Cheese Sandwich,烤火腿和奶酪三明治,烤火腿芝士三明治
Mandarin Orange,橘子,橙子
Baba Ganoush with Roasted Eggplant ,Baba Ganoush与烤茄子（素）,酱烤茄子
Armenian Trout Filet,亚美尼亚鳟鱼文件,亚美尼亚鳟鱼
Spicy Veggie w/Peanut Sauce  ,（素）坚果酱（素）,辣蔬菜/坚果酱
Trout Congee,鳟鱼粥,鳟鱼粥
Artichoke Pizza w/Pesto on White ,（P）白色（素）,朝鲜蓟披萨
Texas Style French Toast ,德州风味法式吐司（素）,德州风味吐司
Tempura Swai Fish,天妇罗Swai鱼,天妇罗Swai鱼
Tri Tip,三提,烤牛肉
Steamed Red Potatoes ,蒸红薯（素）,蒸红薯
Philly Cheese Steak,费城奶酪牛排,费城芝士牛扒
Garlic Pizza on Wheat ,小麦上的大蒜披萨（素）,蒜味披萨
Chicken Asian Noodle Soup,鸡亚鸡汤,鸡肉面
Chicken Taquito,鸡肉汤,鸡肉汤
Sauteed Button Mushrooms ,炒菜蘑菇（素）,炒蘑菇
Croissant with Scrm Egg/Ham/Cheese,牛排面包鸡蛋/火腿/奶酪,鸡蛋/火腿/奶酪面包
Cake Carrot  ,蛋糕胡萝卜（w /坚果）（素）,胡萝卜蛋糕
Chicken Breast Parmesan Sandwich,鸡胸肉巴马酱三明治,鸡胸肉巴马酱三明治
Herb Spaghetti w/Garlic & Olive Oil ,草本意大利面/大蒜,香料意大利面
Apple Pie,苹果派,苹果派
Rosemary Roasted Chicken Quarters,迷迭香烤鸡舍,迷迭香烤鸡
Sauteed Zucchini w/ Ginger ,西葫芦西葫芦/姜（素）,西葫芦炒生姜
Spicy Shrimp Roll,辣虾卷,辣虾寿司卷
Cucumber & Avocado Roll ,黄瓜,牛油果黄瓜卷
Grilled Cheddar On Wheat ,小麦烤切片（素）,小麦面包配干酪
Shoestring Fries ,煎饼（素）,炸薯条
Sun Dried Tomato Bread ,太阳番茄面包（素）,面包配番茄干
Dutch Apple Bar ,荷兰苹果酒吧（素）,荷兰苹果塔
Zucchini Salad with Dill & Feta ,西葫芦沙拉配莳萝,西葫芦沙拉配莳萝及干酪
Green Bell Pepper Strip,绿色胡椒椒,青椒条
Jicama Salad ,茉莉沙拉（素）,凉薯沙拉
Beef Teriyaki,牛肉Teriyaki,烤牛肉
Vegetable Lo Mein ,蔬菜Lo in,蔬菜捞面
Sugar Snap Peas ,糖豌豆（素）,甜豌豆
Brussel Sprouts with Soy & Garlic ,布鲁塞尔豆芽与大豆,酱汁球芽甘蓝与大蒜
Miso & Pho Line,味噌,味增河粉
Classic Miso Soup,经典味噌汤,经典味增汤
Pho Soup,Pho汤,越南河粉汤
Chicken Fajita,鸡Fajita,烤鸡肉佐青椒
Vegetable Fajitas ,蔬菜Fajitas（素）,墨西哥蔬菜卷
Spanish Rice,西班牙米饭,西班牙米饭
Whole Wheat Tortilla,全麦小麦玉米饼,全麦玉米饼
Spicy Black Bean Soup ,辣黑豆汤（素）,辣黑豆汤
Rotini with Garlic Butter ,罗利尼与大蒜黄油（素）,蒜蓉黄油意面
Sesame Bread ,芝麻面包（素）,芝麻面包
Lemon Almond Cornmeal Cake  ,柠檬杏仁玉米蛋糕（w /坚果）（素）,柠檬杏仁玉米蛋糕
Thick French Toast ,厚法国吐司（素）,厚法国吐司
Sausage Biscuits & Gravy,香肠饼干,酱汁香肠饼干
Chocolate Chip Banana Bread ,巧克力香蕉面包（素）,巧克力香蕉面包
Ambrosia Salad  ,安布拉沙拉（w /坚果）（素）,安不拉沙拉
Vietnamese Vermicelli Pork,越南粉丝猪肉,越南猪肉粉丝
Rice Noodles with Black Bean Sauce ,黑豆酱米面（五）,黑豆酱米线
Chicken Spinach & Mushroom Lasagna,鸡菠菜,鸡肉蘑菇菠菜千层面
Fresh Herb Polenta with Marinara ,新鲜草药玉米粥与马里纳拉（素）,新鲜药草大麦粥配马瑞娜拉调味汁
Assorted Meat Pizza,什锦肉类披萨饼,什锦肉类披萨
Quattro Formaggio Pizza on Wheat ,小麦上的Quattro Formaggio披萨（素）,小麦披萨
Charburger,烤肉汉堡,烤肉汉堡
Grilled Vegetable Burger ,烤蔬菜汉堡,烤蔬菜汉堡
Hot Dog,热狗,热狗
Pesto Bread ,Pesto面包（素）,蒜蓉面包
Apple Kuchen  ,苹果Kuchen（w /坚果）（素）,德式苹果蛋糕
Brownie w/Chocolate Icing ,布朗尼（巧克力糖）（素）,巧克力布朗尼蛋糕
Red Wine Vinegar,红葡萄酒醋,红酒醋
Green Pea (Frozen),绿豌豆（冷冻）,冻绿豌豆
Organic Spinach,有机菠菜,有机菠菜
Coleslaw ,大肠杆菌（素）,凉拌卷心菜
French Potato Salad ,法国土豆沙拉（素）,法式土豆沙拉
Ginger Beef Stir Fry,姜牛肉搅拌,牛肉炒生姜
Grilled Tilapia w/ Italian Spice,烤罗非鱼与意大利香料,烤罗非鱼佐意大利香料
Fire Roasted Tomato Chipotle Salsa,火烤番茄Chipotle莎莎,墨西哥辣味番茄酱
Spanish Corn ,西班牙玉米（素）,西班牙玉米
Broccoli Garlic Soup ,西兰花大蒜汤（素）,蒜蓉西蓝花汤
Fettuccine with Chicken/Olives/Garlic,Fettuccine与鸡/橄榄/大蒜,蒜蓉橄榄鸡肉意面
Fusilli w/Roasted Vegetables ,Fusilli w /烤蔬菜（素）,蔬菜通心粉
Zucchini Bread  ,西葫芦面包（w /坚果）（素）,西葫芦面包
Cream Cheese Pie ,奶油奶酪馅饼（素）,奶油干酪派
Grilled Tilapia with Lemon Pepper,烤罗非鱼与柠檬胡椒,柠檬胡椒烤罗非鱼
Cream of Broccoli Soup ,西兰花汤（素）,西蓝花奶油汤
Eggplant Parmigiana ,茄子罂粟（素）,茄子配帕尔马干酪
Steamed Carrots & Zucchini ,蒸胡萝卜,清蒸胡萝卜与西葫芦
Beef Chili Colorado Burrito,牛肉辣椒科罗拉多烤肉,科罗拉多辣牛肉卷
Bean & Cheese Sopes ,豆,芝士大豆塔
Four Cheese Pizza ,四奶酪披萨（素）,奶酪披萨
Pasta Arabiata with Chicken,zPasta Arabiata与鸡,鸡肉意面
Garden Vegetable Marinara Sauce ,花园蔬菜Marinara酱（素）,马瑞娜拉蔬菜酱
Grilled Cheese Sandwich on Sourdough ,烤牛排三明治（素）,烤芝士三明治
Waldorf Salad  ,华尔道夫沙拉（w /坚果）（素）,华尔道夫沙拉
Roasted Garlic Roll ,烤大蒜卷（素）,烤大蒜卷
Rice Krispie Treat ,米糠治疗（素）,西式米花糖
Killer Brownie  ,杀手布朗尼（w /坚果）（素）,杀手布朗尼蛋糕
Chicken Piccata,鸡皮卡塔,香溜鸡肉片
Crookneck Squash & Herbs ,Crookneck壁球,香料南瓜块
Mushroom Stroganoff ,蘑菇Stroganoff（素）,斯特罗加蘑菇
Grilled Pork Taco,烤猪肉卷,猪肉玉米饼
Potato Gordas with Black Beans ,黑豆土豆Gordas（素）,土豆裹黑豆
Teriyaki Chicken Stir Fry,Teriyaki鸡肉搅拌,照烧鸡肉
Pineapple Fried Rice with Tofu ,菠萝炸饭豆腐（素）,菠萝豆腐炒饭
Onion Bread ,洋葱面包（素）,洋葱面包
Black Forest Cake ,黑森林蛋糕（素）,黑森林蛋糕
Fish Cake,鱼蛋糕,鱼蛋糕
Burre Blanc Sauce ,anc酱（素）,黑布雷酱
Chorizo And Eggs,香肠和鸡蛋,鸡蛋配西班牙辣香肠
Home Fried Potatoes ,炒土豆（素）,炒土豆
Morning Glory Muffin  ,牵牛花松饼（w /坚果）（素）,晨光麦芬
Pullman Wheat Bread,铂尔曼小麦面包,普尔曼全麦面包
Raisin Bran Cereal,葡萄干麸谷物,葡萄干燕麦片
Chef Salad,主厨沙拉,主厨沙拉
Chicken Arroz con Pollo,鸡Arroz con Pollo,古巴鸡肉饭
Cheese & Chile Tamale w/ Green Sauce ,起司,绿酱佐辣椒芝士粉蒸肉
Chili Style Lentil Soup ,辣椒型扁豆汤（素）,辣椒扁豆汤
Roll Raisin W/Glaze ,卷葡萄干W /釉（素）,葡萄干卷
Lemon Jello Cake,柠檬果冻蛋糕,柠檬果冻
Cheesecake Bars  ,芝士蛋糕酒吧（w /坚果）（素）,芝士蛋糕
Roast Turkey,烤火鸡,烤火鸡
Turkey Gravy,火鸡肉汁,火鸡酱汁
Kung Pao Beef ,宫爆牛肉,宫爆牛肉
Fresh Mushroom Quiche ,新鲜蘑菇乳蛋饼（素）,蘑菇塔
Mashed Red Potatoes w/ Garlic ,捣碎的红薯土豆（素）,蒜蓉红薯泥
Bread Stuffing,面包馅,面包馅
Sauteed Zucchini ,西葫芦（素）,快炒西葫芦
Steamed Corn ,蒸玉米（素）,蒸玉米
Chicken Vegetable Soup,鸡肉蔬菜汤,蔬菜鸡肉汤
Marinara Sauce with Sausage,香肠酱香肠,马瑞娜拉酱佐香肠
Marinara Sauce with Eggplant ,马里纳拉酱茄子（素）,马瑞娜拉酱佐茄子
Baked Potato Bar,烤土豆吧,烤土豆
Real Bacon Bits,真正的培根位,培根
Ranch Dressing ,牧场敷料（素）,牧场沙拉酱
Banana Cream Pie,香蕉奶油馅饼,香蕉奶油酱
Apple Crepes ,苹果绉纱（素）,苹果薄饼
Sticky Bun  , /坚果）（素）,蛋糕卷
Banana Muffin ,香蕉松饼（素）,香蕉麦芬
Brown Rice/Legumes Salad  ,糙米/豆类沙拉（w /坚果）（素）,五谷沙拉
Coleslaw with Vinagrette ,凉菜与Vinagrette（素）,酱拌卷心菜
Lemon Baked Fresh Snapper,柠檬烤新鲜鲷鱼,柠檬鲷鱼
Chicken Pot Pie,鸡锅饼,鸡肉蔬菜派
Roasted Butternut Squash ,烤胡桃南瓜（素）,烤南瓜块
Fresh Sauteed Spinach ,新鲜菠菜（素）,快炒菠菜
Carnitas Torta Bar,Carnitas Torta酒吧,墨西哥肉夹馍自助台
Pulled Pork,拉猪肉,猪肉肉丝
Wide French Baguette,宽法式长方形,法式长包
Yellow Onion,黄洋葱,黄洋葱